radio,mcc,mnc,lac,cid,long,lat,operator
UMTS,404,50,50812,1651663,93.999625,24.62903,Jio
UMTS,404,9,51811,273106,91.779098510742,26.155014038086,Jio
UMTS,404,85,63824,2184649,87.856979370117,23.235397338867,Jio
UMTS,404,9,51811,276455,91.612930297852,26.101455688477,Jio
UMTS,404,9,51811,50594049,91.612930297852,26.101455688477,Jio
UMTS,404,52,52813,1782774,86.924514770508,21.503677368164,Jio
UMTS,404,85,63825,2186081,87.258018,23.54734,Jio
UMTS,404,85,63825,2190241,87.254984,23.551529,Jio
UMTS,404,85,63825,2192051,87.255753,23.556335,Jio
UMTS,404,85,63825,2186321,87.25999,23.561456,Jio
UMTS,404,85,63825,2186590,87.254042,23.561429,Jio
UMTS,404,85,63825,2186079,87.266121,23.564129,Jio
UMTS,404,85,63825,2192049,87.26619,23.564713,Jio
UMTS,404,85,63825,2186171,87.270584,23.567596,Jio
UMTS,404,85,63825,2186169,87.278761,23.570917,Jio
UMTS,404,85,63825,2191860,87.277450561523,23.571853637695,Jio
UMTS,404,85,63825,2186319,87.283974,23.565674,Jio
UMTS,404,85,63825,2186600,87.29274,23.571808,Jio
UMTS,404,85,63825,2187191,87.296676635742,23.571853637695,Jio
UMTS,404,67,61816,1147083,78.961773,22.081547,Jio
UMTS,404,67,61816,1147213,78.945037,22.073175,Jio
UMTS,404,67,61816,1147214,78.931021,22.071107,Jio
UMTS,404,67,61816,1147215,78.930749,22.07117,Jio
UMTS,404,67,61816,1147065,78.935885,22.052994,Jio
UMTS,404,67,61811,1129565,75.869522,22.719236,Jio
UMTS,404,67,61815,1130444,77.766036987305,22.607803344727,Jio
UMTS,404,67,61815,1130485,77.766036987305,22.607803344727,Jio
UMTS,404,67,61811,1133643,75.869522094727,22.762985229492,Jio
UMTS,404,67,61811,1139495,75.875316,22.76144,Jio
UMTS,404,67,61811,1126543,75.868607,22.759323,Jio
UMTS,404,67,61811,1127264,75.875174,22.760978,Jio
UMTS,404,67,61811,1127113,75.869064,22.765732,Jio
UMTS,404,67,61811,1127265,75.873489,22.765121,Jio
UMTS,404,67,61811,1139494,75.880705,22.761023,Jio
UMTS,404,67,61811,1129585,75.899906,22.773027,Jio
UMTS,404,67,61811,1139645,75.899734,22.772049,Jio
UMTS,404,67,61811,1129753,75.899734,22.767563,Jio
UMTS,404,67,61811,1129614,75.854613,22.802026,Jio
UMTS,404,67,61811,1129805,75.869522,22.747192,Jio
UMTS,404,67,61811,1129804,75.869205,22.743125,Jio
UMTS,404,67,61811,1129803,75.869865,22.744446,Jio
UMTS,404,67,61811,1126354,75.866913,22.736343,Jio
UMTS,404,67,61811,1130135,75.864182,22.733078,Jio
UMTS,404,67,61811,1129833,75.861282,22.731965,Jio
UMTS,404,67,61811,1139794,75.861626,22.73243,Jio
UMTS,404,67,61811,1126625,75.859051,22.733631,Jio
UMTS,404,67,61811,1126184,75.851944,22.732498,Jio
UMTS,404,67,61811,1126183,75.850296,22.733459,Jio
UMTS,404,67,61811,1126185,75.850124,22.730885,Jio
UMTS,404,67,61811,1130405,75.851944,22.726456,Jio
UMTS,404,67,61811,1130403,75.851669311523,22.724533081055,Jio
UMTS,404,67,61811,1130113,75.851212,22.722397,Jio
UMTS,404,67,61811,1130115,75.848727,22.721787,Jio
UMTS,404,67,61811,1130263,75.847092,22.722702,Jio
UMTS,404,67,61811,1130264,75.846045,22.718451,Jio
UMTS,404,67,61811,1130063,75.844802856445,22.717666625977,Jio
UMTS,404,67,61811,1130064,75.843804,22.71467,Jio
UMTS,404,67,61811,1129675,75.842514,22.713547,Jio
UMTS,404,67,61811,1129673,75.84342956543,22.71354675293,Jio
UMTS,404,36,36842,668971,85.347977,24.000532,Jio
UMTS,404,36,36842,667261,85.34797668457,24.00032043457,Jio
UMTS,404,67,61811,1140374,75.858765,22.638474,Jio
UMTS,404,67,61811,1126574,75.827726,22.63324,Jio
UMTS,404,67,61811,1130235,75.836472,22.634903,Jio
UMTS,404,67,61811,1126464,75.837936,22.635612,Jio
UMTS,404,67,61841,1368601,75.772395,23.194657,Jio
UMTS,404,67,61841,1368482,75.779204,23.196583,Jio
UMTS,404,67,61841,1368783,75.780258,23.197975,Jio
UMTS,404,67,61841,1368553,75.784748,23.197262,Jio
UMTS,404,67,61841,1368552,75.787289,23.198441,Jio
UMTS,404,67,61841,1368602,75.777969,23.191931,Jio
UMTS,404,67,61841,1368551,75.783462,23.202066,Jio
UMTS,404,67,61841,1368771,75.773392,23.199299,Jio
UMTS,404,67,61841,1368772,75.774765014648,23.198318481445,Jio
UMTS,404,67,61841,1368603,75.773841,23.195044,Jio
UMTS,404,67,61841,1368493,75.775108,23.191795,Jio
UMTS,404,67,61841,1368611,75.771802,23.192753,Jio
UMTS,404,67,61841,1368491,75.774384,23.192213,Jio
UMTS,404,67,61841,1368461,75.777931,23.190901,Jio
UMTS,404,67,61841,1368481,75.77504,23.203171,Jio
UMTS,404,67,61841,1368462,75.782615,23.186661,Jio
UMTS,404,67,61841,1368801,75.782647,23.185315,Jio
UMTS,404,67,61841,1368531,75.787808,23.180613,Jio
UMTS,404,67,61841,1368452,75.792986,23.175034,Jio
UMTS,404,67,61841,1368683,75.796522,23.170489,Jio
UMTS,404,67,61841,1368511,75.800024,23.166207,Jio
UMTS,404,67,61841,1368571,75.804086,23.15846,Jio
UMTS,404,67,61841,1368451,75.79672,23.171491,Jio
UMTS,404,67,61811,1129653,75.89419,22.746455,Jio
UMTS,404,67,61811,1125984,75.895257,22.749767,Jio
UMTS,404,67,61811,1130363,75.894516,22.744583,Jio
UMTS,404,67,61811,1125983,75.896988,22.753525,Jio
UMTS,404,67,61811,1139595,75.874515,22.778744,Jio
UMTS,404,67,61282,1125984,75.896987915039,22.753372192383,Jio
UMTS,404,67,61811,1126203,75.890121,22.752124,Jio
UMTS,404,67,61811,1126205,75.884886,22.752943,Jio
UMTS,404,67,61282,1127265,75.869522094727,22.765731811523,Jio
UMTS,404,67,61811,1127115,75.864182,22.770081,Jio
UMTS,404,67,61291,1132764,75.847549438477,22.798690795898,Jio
UMTS,404,67,61811,1132764,75.850072,22.81252,Jio
UMTS,404,67,61811,1127194,75.846852,22.82496,Jio
UMTS,404,67,61841,1368472,75.796699,23.138427,Jio
UMTS,404,67,61841,1368471,75.794758,23.15201,Jio
UMTS,404,67,61841,1368483,75.774765,23.197678,Jio
UMTS,404,67,61401,1368602,75.774765014648,23.192825317383,Jio
UMTS,404,67,61841,1368453,75.791262,23.178511,Jio
UMTS,404,67,61841,1368682,75.795582,23.172073,Jio
UMTS,404,67,61841,1368583,75.783777,23.187847,Jio
UMTS,404,67,61841,1368581,75.786381,23.193169,Jio
UMTS,404,67,61841,1368512,75.804367,23.158646,Jio
