state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,2529,0.05987074169645605,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,4033,0.07244086002191368,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,13047,0.2590643739327271,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,3121,27.37719298245614,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,8392,0.15690967223229813,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,29180,0.6600018094634941,6.717633221749751
7,DELHI,1483,7,DELHI,444000,50016,33.72623061362104,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,21266,0.06213786272166527,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,52566,0.21818136538716962,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,7839,0.08324925926319254,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,515,0.072576099210823,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,212,0.0013233045160887613,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,245,0.014777730864346462,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,474,0.02122990101670623,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,189,0.008965419097765761,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,270,0.025748617203890902,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,561,0.02501226091221187,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,4547,0.05796935158979066,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,36191,0.40777672615828375,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,4886,0.06129412650224553,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,6207,0.03986333305503285,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,15385,0.04991046286804303,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,38942,0.19865934783495898,1.4539036036403705
25,DAMAN & DIU,401,25,DAMAN & DIU,50000,189,0.4713216957605985,124.68827930174564
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,119029,0.38681823647359714,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,24629,0.1537342779563684,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,78023,0.4068126241585893,1.5746307178126189
30,GOA,3702,30,GOA,502000,5291,1.4292274446245272,135.602377093463
32,KERALA,38863,32,KERALA,269000,42817,1.1017420168283458,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,1580,3.298538622129436,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,42880,0.3825941094069256,2.7570331111646458
