state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,1293,0.030610070784309083,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,1924,0.03455894239577533,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,3925,0.07793574520471784,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,1088,9.543859649122806,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,4543,0.08494287904567807,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,10387,0.2349362164118339,6.717633221749751
7,DELHI,1483,7,DELHI,444000,20803,14.027646662171275,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,13792,0.04029932298773664,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,20310,0.08429904369770222,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,5990,0.06361309643915339,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,210,0.02959413754227734,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,108,0.0006741362629131425,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,160,0.00965076301345075,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,281,0.012585658619608546,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,111,0.005265404866941796,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,197,0.01878695403395003,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,296,0.013197200053502162,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,2537,0.03234401693056937,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,11478,0.12932666306111412,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,3362,0.042175778407807916,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,1909,0.012260206670220349,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,4938,0.016019360782736202,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,8311,0.04239786964861446,1.4539036036403705
25,DAMAN & DIU,401,25,DAMAN & DIU,50000,24,0.059850374064837904,124.68827930174564
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,37771,0.12274749523094572,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,11478,0.07164570394182454,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,56090,0.292453764775198,1.5746307178126189
30,GOA,3702,30,GOA,502000,1051,0.2839005942733657,135.602377093463
32,KERALA,38863,32,KERALA,269000,2350,0.06046882639013972,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,642,1.3402922755741127,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,22177,0.19787289095889432,2.7570331111646458
