state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,261,0.006178830993584432,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,249,0.004472545039785893,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,973,0.019320122314443428,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,401,3.517543859649123,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,23,0.00043004319129443,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,943,0.021329050936397358,6.717633221749751
7,DELHI,1483,7,DELHI,444000,3590,2.420768712070128,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,1452,0.004242649142850464,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,1223,0.005076205339354496,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,544,0.0057772161039898896,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,13,0.0018320180383314543,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,16,9.987203895009519e-05,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,9,0.0005428554195066048,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,52,0.0023290186769382363,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,11,0.0005217968787059438,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,13,0.0012397482357428952,16.02136181575434
17,MEGHALAYA,22429,17,MEGHALAYA,99000,18,0.0008025324356859423,4.4139283962726825
18,ASSAM,78438,18,ASSAM,118000,278,0.003544200515056478,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,2724,0.030692266089778257,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,796,0.009985698873472665,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,858,0.005510349566814594,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,952,0.003088382232718685,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,250,0.0012753540382810268,1.4539036036403705
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,3769,0.012248426293331774,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,208,0.0012983365063512374,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,232,0.0012096500878560517,1.5746307178126189
30,GOA,3702,30,GOA,502000,27,0.007293354943273906,135.602377093463
32,KERALA,38863,32,KERALA,269000,391,0.010060983454699843,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,7,0.014613778705636743,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,1185,0.010573088144757622,2.7570331111646458
