sdtname,dtname,stname,number_of_cell_towers
A.Konduru,Krishna,ANDHRA PRADESH,2
Aalo,West Siang,ARUNACHAL PRADESH,3
Abdasa,Kachchh,GUJARAT,10
Abhanpur,Raipur,CHATTISGARH,10
Abohar,Fazilka,PUNJAB,26
Abu Road,Sirohi,RAJASTHAN,44
Achalpur,Amravati,MAHARASHTRA,25
Achampet,Mahbubnagar,TELANGANA,17
Achanta,West Godavari,ANDHRA PRADESH,1
Addakal,Mahbubnagar,TELANGANA,11
Addanki,Prakasam,ANDHRA PRADESH,42
Adilabad,Adilabad,TELANGANA,13
Adoni,Kurnool,ANDHRA PRADESH,29
Adoor,Pathanamthitta,KERALA,231
Agar,Agar Malwa,MADHYA PRADESH,13
Agastheeswaram,Kanniyakumari,TAMILNADU,111
Agiripalle,Krishna,ANDHRA PRADESH,8
Agra,Agra,UTTAR PRADESH,766
Ahmadabad City,Ahmadabad,GUJARAT,5631
Ahmadpur,Latur,MAHARASHTRA,8
Aibawk,Aizawl,MIZORAM,1
Ainavilli,East Godavari,ANDHRA PRADESH,2
Ajmer,Ajmer,RAJASTHAN,173
Ajnala,Amritsar,PUNJAB,12
Ajra,Kolhapur,MAHARASHTRA,65
Akaltara,Janjgir - Champa,CHATTISGARH,3
Akbarpur,Ambedkar Nagar,UTTAR PRADESH,14
Akbarpur,Kanpur Dehat,UTTAR PRADESH,36
Akividu,West Godavari,ANDHRA PRADESH,2
Akkalkot,Solapur,MAHARASHTRA,32
Akkalkuwa,Nandurbar,MAHARASHTRA,1
Akola,Ahmadnagar,MAHARASHTRA,34
Akola,Akola,MAHARASHTRA,212
Akot,Akola,MAHARASHTRA,3
Alair,Yadadri Bhuvanagiri,TELANGANA,16
Alampur,Jogulamba Gadwal,TELANGANA,2
Alamuru,East Godavari,ANDHRA PRADESH,4
Alandur,Kancheepuram,TAMILNADU,815
Alangudi,Pudukkottai,TAMILNADU,18
Alangulam,Tirunelveli,TAMILNADU,4
Alathur,Palakkad,KERALA,208
Algapur,Hailakandi,ASSAM,8
Alibag,Raigarh,MAHARASHTRA,145
Aliganj,Etah,UTTAR PRADESH,2
Alipurduar - I,Alipurduar,WEST BENGAL,34
Alipurduar - II,Alipurduar,WEST BENGAL,1
Alirajpur,Alirajpur,MADHYA PRADESH,8
Allagadda,Kurnool,ANDHRA PRADESH,21
Allahabad,Prayagraj,UTTAR PRADESH,435
Allapur,Ambedkar Nagar,UTTAR PRADESH,8
Allur,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,1
Almora,"Almora
",UTTARAKHAND,26
Alot,Ratlam,MADHYA PRADESH,6
Alur,Hassan,KARNATAKA,1
Alur,Kurnool,ANDHRA PRADESH,2
Aluva,Ernakulam,KERALA,728
Alwar,Alwar,RAJASTHAN,67
Amadalavalasa,Srikakulam,ANDHRA PRADESH,8
Amalapuram,East Godavari,ANDHRA PRADESH,1
Amalner,Jalgaon,MAHARASHTRA,22
Amangal,Ranga Reddy,TELANGANA,17
Amaravathi,Guntur,ANDHRA PRADESH,7
Amarpatan,Satna,MADHYA PRADESH,15
Amb,Una,HIMACHAL PRADESH,28
Ambad,Jalna,MAHARASHTRA,10
Ambagarh,Rajnandgaon,CHATTISGARH,1
Ambah,Morena,MADHYA PRADESH,1
Ambajipeta,East Godavari,ANDHRA PRADESH,26
Ambala,Ambala,HARYANA,496
Ambalappuzha,Alappuzha,KERALA,415
Ambarnath,Thane,MAHARASHTRA,156
Ambasamudram,Tirunelveli,TAMILNADU,29
Ambattur,Thiruvallur,TAMILNADU,925
Ambegaon,Pune,MAHARASHTRA,67
Ambejogai,Bid,MAHARASHTRA,99
Amber,Jaipur,RAJASTHAN,80
Amberpet,Hyderabad,TELANGANA,204
Ambikapur,Surguja,CHATTISGARH,65
Ambur,Vellore,TAMILNADU,110
Amdanga,North Twenty Four Parganas,WEST BENGAL,13
Ameerpet,Hyderabad,TELANGANA,144
Amet,Rajsamand,RAJASTHAN,1
Amethi,Amethi,UTTAR PRADESH,29
Amgaon,Gondiya,MAHARASHTRA,2
Amirgadh,Banas Kantha,GUJARAT,13
Amla,Betul,MADHYA PRADESH,14
Amloh,Fatehgarh Sahib,PUNJAB,75
Amod,Bharuch,GUJARAT,9
Amrabad,Mahbubnagar,TELANGANA,3
Amravati,Amravati,MAHARASHTRA,284
Amreli,Amreli,GUJARAT,87
Amritpur,Farrukhabad,UTTAR PRADESH,3
Amritsar -I,Amritsar,PUNJAB,32
Amritsar- II,Amritsar,PUNJAB,331
Amroha,Jyotiba Phule Nagar,UTTAR PRADESH,90
Amta - I,Haora,WEST BENGAL,2
Anakapalle,Visakhapatnam,ANDHRA PRADESH,28
Anand,Anand,GUJARAT,552
Anandapuram,Visakhapatnam,ANDHRA PRADESH,10
Anandpur Sahib,Rupnagar,PUNJAB,18
Anantapur,Anantapur,ANDHRA PRADESH,97
Ananthagiri,Visakhapatnam,ANDHRA PRADESH,1
Ananthasagaram,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,7
Anantnag,Anantnag,JAMMU & KASHMIR,1
Anaparthy,East Godavari,ANDHRA PRADESH,5
Andipatti,Theni,TAMILNADU,20
Andole,Medak,TELANGANA,12
Anekal,Bangalore,KARNATAKA,328
Anjad,Barwani,MADHYA PRADESH,1
Anjangaon Surji,Amravati,MAHARASHTRA,2
Anjar,Kachchh,GUJARAT,57
Anklav,Anand,GUJARAT,28
Anklesvar,Bharuch,GUJARAT,363
Anumula,Nalgonda,TELANGANA,3
Anupgarh,Ganganagar,RAJASTHAN,9
Anuppur,Anuppur,MADHYA PRADESH,10
Anupshahr,Bulandshahr,UTTAR PRADESH,11
Aonla,Bareilly,UTTAR PRADESH,35
Arakonam,Vellore,TAMILNADU,107
Arambag,Hugli,WEST BENGAL,32
Arang,Raipur,CHATTISGARH,49
Arani,Tiruvannamalai,TAMILNADU,31
Aranthangi,Pudukkottai,TAMILNADU,19
Aravakurichi,Karur,TAMILNADU,32
Arcot,Vellore,TAMILNADU,39
Ardhapur,Nanded,MAHARASHTRA,26
Ariyalur,Ariyalur,TAMILNADU,7
Arjuni Morgaon,Gondiya,MAHARASHTRA,11
Arki,Solan,HIMACHAL PRADESH,1
Armori,Gadchiroli,MAHARASHTRA,7
Armur,Nizamabad,TELANGANA,11
Arni,Yavatmal,MAHARASHTRA,4
Arsha,Puruliya,WEST BENGAL,2
Aruppukkottai,Virudhunagar,TAMILNADU,12
Arvi,Wardha,MAHARASHTRA,2
Asansol Kulti Township,Paschim Bardhaman,WEST BENGAL,125
Ashoknagar,Ashoknagar,MADHYA PRADESH,14
Ashta,Sehore,MADHYA PRADESH,56
Ashti,Bid,MAHARASHTRA,48
Ashti,Wardha,MAHARASHTRA,4
Asifabad,Kumuram Bheem Asifabad,TELANGANA,4
Asifnagar,Hyderabad,TELANGANA,175
Aspari,Kurnool,ANDHRA PRADESH,10
Assandh,Karnal,HARYANA,4
Aswapuram,Bhadradri Kothagudem,TELANGANA,6
Atchutapuram,Visakhapatnam,ANDHRA PRADESH,5
Ater,Bhind,MADHYA PRADESH,1
Atmakur,Mahbubnagar,TELANGANA,5
Atmakur,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,3
Atmakur,Warangal,TELANGANA,5
Atmakur (M),Yadadri Bhuvanagiri,TELANGANA,10
Atpadi,Sangli,MAHARASHTRA,9
Atreyapuram,East Godavari,ANDHRA PRADESH,13
Attili,West Godavari,ANDHRA PRADESH,1
Attur,Dindigul,TAMILNADU,31
Attur,Salem,TAMILNADU,104
Aundha (Nagnath),Hingoli,MAHARASHTRA,29
Aurai,Sant Ravidas Nagar (Bhadohi),UTTAR PRADESH,10
Auraiya,Auraiya,UTTAR PRADESH,52
Aurangabad,Aurangabad,BIHAR,1
Aurangabad,Aurangabad,MAHARASHTRA,932
Ausa,Latur,MAHARASHTRA,11
Ausgram - I,Purba Bardhaman,WEST BENGAL,38
Ausgram - II,Purba Bardhaman,WEST BENGAL,14
Aut,Mandi,HIMACHAL PRADESH,6
Avanashi,Tiruppur,TAMILNADU,125
Avanigadda,Krishna,ANDHRA PRADESH,1
Awantipora,Pulwama,JAMMU & KASHMIR,2
Azamgarh,Azamgarh,UTTAR PRADESH,35
Azara,Kamrup Metropolitan,ASSAM,124
Baba Bakala,Amritsar,PUNJAB,27
Babai,Hoshangabad,MADHYA PRADESH,9
Babra,Amreli,GUJARAT,12
Babulgaon,Yavatmal,MAHARASHTRA,5
Bachannapet,Jangoan,TELANGANA,1
Bada Malhera,Chhatarpur,MADHYA PRADESH,1
Badarpur,Karimganj,ASSAM,1
Badarwas,Shivpuri,MADHYA PRADESH,1
Baddi,Solan,HIMACHAL PRADESH,34
Badhra,Charki Dadri,HARYANA,25
Badi,Raisen,MADHYA PRADESH,2
Badlapur,Jaunpur,UTTAR PRADESH,4
Badnagar,Ujjain,MADHYA PRADESH,15
Badnapur,Jalna,MAHARASHTRA,38
Badnawar,Dhar,MADHYA PRADESH,22
Baduria,North Twenty Four Parganas,WEST BENGAL,9
Badvel,Y.S.R.,ANDHRA PRADESH,4
Badwara,Katni,MADHYA PRADESH,3
Bagalkot,Bagalkote,KARNATAKA,48
Bagasara,Amreli,GUJARAT,19
Bagbahra,Mahasamund,CHATTISGARH,2
Bagda,North Twenty Four Parganas,WEST BENGAL,7
Bagepalli,Chikkaballapura,KARNATAKA,2
Bageshwar,Bageshwar,UTTARAKHAND,7
Bagha Purana,Moga,PUNJAB,11
Baghpat,Baghpat,UTTAR PRADESH,55
Bagidora,Banswara,RAJASTHAN,2
Baglan,Nashik,MAHARASHTRA,5
Bagli,Dewas,MADHYA PRADESH,5
Bagnan - I,Haora,WEST BENGAL,68
Bagnan - II,Haora,WEST BENGAL,24
Bah,Agra,UTTAR PRADESH,2
Bahadurgarh,Jhajjar,HARYANA,329
Baheri,Bareilly,UTTAR PRADESH,7
Bahoriband,Katni,MADHYA PRADESH,1
Bahour Taluk,Puducherry,PUDUCHERRY,23
Bahraich,Bahraich,UTTAR PRADESH,58
Baihar,Balaghat,MADHYA PRADESH,4
Baijnath,Kangra,HIMACHAL PRADESH,10
Baikunthpur,Gopalganj,BIHAR,1
Baikunthpur,Koriya,CHATTISGARH,12
Bairia,Ballia,UTTAR PRADESH,10
Baisinga,Mayurbhanj,ODISHA,1
Bajna,Ratlam,MADHYA PRADESH,2
Bajpur,Udham Singh Nagar,UTTARAKHAND,12
Bakshi Ka Talab,Lucknow,UTTAR PRADESH,63
Balachaur,Shahid Bhagat Singh Nagar,PUNJAB,46
Balaghat,Balaghat,MADHYA PRADESH,16
Balanagar,Mahbubnagar,TELANGANA,26
Balanagar,Rangareddy,TELANGANA,676
Balangir,Balangir,ODISHA,1
Balapur,Akola,MAHARASHTRA,27
Balasinor,Mahisagar,GUJARAT,3
Balayapalle,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,4
Baleshwar (M),Baleshwar,ODISHA,2
