state_code,stname,Area,State_code,Subdistrict_name,Household_income_annual,number_of_cell_towers,cell_towers_per_area,income_per_area
1,JAMMU & KASHMIR,42241,1,JAMMU & KASHMIR,133000,7,0.0001657157737742951,3.1485997017116074
2,HIMACHAL PRADESH,55673,2,HIMACHAL PRADESH,216000,180,0.0032331650890018502,3.87979810680222
3,PUNJAB,50362,3,PUNJAB,174000,1226,0.024343751241015052,3.45498590206902
4,CHANDIGARH,114,4,CHANDIGARH,406000,559,4.9035087719298245,3561.40350877193
5,UTTARAKHAND,53483,5,UTTARAKHAND,234000,110,0.0020567283061907523,4.375222033169418
6,HARYANA,44212,6,HARYANA,297000,3221,0.0728535239301547,6.717633221749751
7,DELHI,1483,7,DELHI,444000,5290,3.567093728927849,299.39312204989886
8,RAJASTHAN,342239,8,RAJASTHAN,156000,1020,0.0029803733648123094,0.45582180873600026
9,UTTAR PRADESH,240928,9,UTTAR PRADESH,79000,2888,0.01198698366316908,0.32789879134015143
10,BIHAR,94163,10,BIHAR,57000,137,0.0014549239085415715,0.6053333050136466
11,SIKKIM,7096,11,SIKKIM,549000,74,0.010428410372040587,77.36753100338218
12,ARUNACHAL PRADESH,160205,12,ARUNACHAL PRADESH,248000,6,3.74520146062857e-05,1.5480166037264755
13,NAGALAND,16579,13,NAGALAND,163000,1,6.0317268834067196e-05,9.831714819952953
14,MANIPUR,22327,14,MANIPUR,90000,10,0.00044788820710350694,4.030993863931562
15,MIZORAM,21081,15,MIZORAM,192000,1,4.7436079882358525e-05,9.107727337412836
16,TRIPURA,10486,16,TRIPURA,168000,2,0.00019073049780659929,16.02136181575434
18,ASSAM,78438,18,ASSAM,118000,46,0.0005864504449374028,1.5043728804915986
19,WEST BENGAL,88752,19,WEST BENGAL,141000,2458,0.027695150531819,1.5886965927528394
20,JHARKHAND,79714,20,JHARKHAND,84000,1,1.254484783099581e-05,1.0537672178036481
21,ODISHA,155707,21,ODISHA,151000,71,0.0004559846378133289,0.969770145208629
23,MADHYA PRADESH,308252,23,MADHYA PRADESH,141000,1350,0.004379533628330067,0.45741795673669594
24,GUJARAT,196024,24,GUJARAT,285000,6782,0.0345978043504877,1.4539036036403705
25,DAMAN & DIU,401,25,DAMAN & DIU,50000,2,0.004987531172069825,124.68827930174564
27,MAHARASHTRA,307713,27,MAHARASHTRA,242000,16148,0.052477470890082645,0.7864471114317562
28,ANDHRA PRADESH,160205,28,ANDHRA PRADESH,219000,1430,0.008926063481164757,1.3669985331294279
29,KARNATAKA,191791,29,KARNATAKA,302000,9761,0.05089394184294362,1.5746307178126189
30,GOA,3702,30,GOA,502000,1025,0.2768773635872501,135.602377093463
32,KERALA,38863,32,KERALA,269000,5570,0.14332398425237372,6.921750765509611
34,PUDUCHERRY,479,34,PUDUCHERRY,50000,51,0.10647181628392484,104.38413361169103
36,TELANGANA,112077,36,TELANGANA,309000,2973,0.026526405953050135,2.7570331111646458
