sdtname,dtname,stname,number_of_cell_towers
A.Konduru,Krishna,ANDHRA PRADESH,1
ASIKA,Ganjam,ODISHA,8
Abdasa,Kachchh,GUJARAT,13
Abhanpur,Raipur,CHATTISGARH,12
Abohar,Fazilka,PUNJAB,2
Abu Road,Sirohi,RAJASTHAN,182
Achampet,Mahbubnagar,TELANGANA,2
Adampur,Hisar,HARYANA,1
Addakal,Mahbubnagar,TELANGANA,49
Addanki,Prakasam,ANDHRA PRADESH,54
Adilabad,Adilabad,TELANGANA,17
Adityapur(Gamharia),Saraikela-Kharsawan,JHARKHAND,9
Adoni,Kurnool,ANDHRA PRADESH,85
Adoor,Pathanamthitta,KERALA,177
Afzalpur,Kalaburagi,KARNATAKA,33
Agar,Agar Malwa,MADHYA PRADESH,2
Agastheeswaram,Kanniyakumari,TAMILNADU,170
Agiripalle,Krishna,ANDHRA PRADESH,11
Agra,Agra,UTTAR PRADESH,742
Aheri,Gadchiroli,MAHARASHTRA,1
Ahmadabad City,Ahmadabad,GUJARAT,3733
Ahmadpur,Latur,MAHARASHTRA,33
Ahore,Jalor,RAJASTHAN,69
Aibawk,Aizawl,MIZORAM,4
Ainthapali,Sambalpur,ODISHA,5
Airfield (Kapila Prasad),Khordha,ODISHA,5
Ajmer,Ajmer,RAJASTHAN,473
Ajnala,Amritsar,PUNJAB,19
Akaltara,Janjgir - Champa,CHATTISGARH,3
Akbarpur,Ambedkar Nagar,UTTAR PRADESH,4
Akbarpur,Kanpur Dehat,UTTAR PRADESH,183
Akbarpur,Nawada,BIHAR,3
Akividu,West Godavari,ANDHRA PRADESH,20
Akkalkot,Solapur,MAHARASHTRA,69
Akola,Ahmadnagar,MAHARASHTRA,6
Akola,Akola,MAHARASHTRA,56
Alair,Yadadri Bhuvanagiri,TELANGANA,71
Alamuru,East Godavari,ANDHRA PRADESH,5
Alandur,Kancheepuram,TAMILNADU,1646
Alathur,Palakkad,KERALA,73
Algapur,Hailakandi,ASSAM,2
Alibag,Raigarh,MAHARASHTRA,120
Alipurduar - I,Alipurduar,WEST BENGAL,33
Alipurduar - II,Alipurduar,WEST BENGAL,27
Alladurg,Medak,TELANGANA,2
Allagadda,Kurnool,ANDHRA PRADESH,9
Allahabad,Prayagraj,UTTAR PRADESH,407
Allavaram,East Godavari,ANDHRA PRADESH,1
Allur,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,6
Almora,"Almora
",UTTARAKHAND,2
Alot,Ratlam,MADHYA PRADESH,8
Alur,Hassan,KARNATAKA,29
Alur,Kurnool,ANDHRA PRADESH,6
Aluva,Ernakulam,KERALA,854
Alwar,Alwar,RAJASTHAN,138
Amadalavalasa,Srikakulam,ANDHRA PRADESH,16
Amalapuram,East Godavari,ANDHRA PRADESH,1
Amalner,Jalgaon,MAHARASHTRA,5
Amangal,Ranga Reddy,TELANGANA,2
Amaravathi,Guntur,ANDHRA PRADESH,9
Amb,Una,HIMACHAL PRADESH,31
Ambad,Jalna,MAHARASHTRA,5
Ambajipeta,East Godavari,ANDHRA PRADESH,3
Ambala,Ambala,HARYANA,809
Ambalappuzha,Alappuzha,KERALA,574
Ambarnath,Thane,MAHARASHTRA,165
Ambasamudram,Tirunelveli,TAMILNADU,12
Ambassa,Dhalai,TRIPURA,8
Ambattur,Thiruvallur,TAMILNADU,1855
Ambegaon,Pune,MAHARASHTRA,115
