sdtname,dtname,stname,number_of_cell_towers
Abu Road,Sirohi,RAJASTHAN,19
Addakal,Mahbubnagar,TELANGANA,3
Adilabad,Adilabad,TELANGANA,5
Adoni,Kurnool,ANDHRA PRADESH,12
Adoor,Pathanamthitta,KERALA,29
Afzalpur,Kalaburagi,KARNATAKA,27
Agastheeswaram,Kanniyakumari,TAMILNADU,41
Agra,Agra,UTTAR PRADESH,172
Ahmadabad City,Ahmadabad,GUJARAT,267
Airfield (Kapila Prasad),Khordha,ODISHA,5
Ajmer,Ajmer,RAJASTHAN,56
Ajnala,Amritsar,PUNJAB,10
Akbarpur,Kanpur Dehat,UTTAR PRADESH,114
Akkalkot,Solapur,MAHARASHTRA,38
Alair,Yadadri Bhuvanagiri,TELANGANA,25
Alandur,Kancheepuram,TAMILNADU,872
Alibag,Raigarh,MAHARASHTRA,14
Alipurduar - I,Alipurduar,WEST BENGAL,1
Allahabad,Prayagraj,UTTAR PRADESH,81
Almora,"Almora
",UTTARAKHAND,2
Alot,Ratlam,MADHYA PRADESH,3
Alur,Hassan,KARNATAKA,14
Aluva,Ernakulam,KERALA,181
Alwar,Alwar,RAJASTHAN,11
Amangal,Ranga Reddy,TELANGANA,1
Amb,Una,HIMACHAL PRADESH,13
Ambala,Ambala,HARYANA,375
Ambalappuzha,Alappuzha,KERALA,169
Ambarnath,Thane,MAHARASHTRA,44
Ambasamudram,Tirunelveli,TAMILNADU,3
Ambattur,Thiruvallur,TAMILNADU,766
Ambegaon,Pune,MAHARASHTRA,8
Ambejogai,Bid,MAHARASHTRA,99
Amber,Jaipur,RAJASTHAN,23
Amberpet,Hyderabad,TELANGANA,201
Ambur,Vellore,TAMILNADU,142
Ameerpet,Hyderabad,TELANGANA,184
Amloh,Fatehgarh Sahib,PUNJAB,21
Amravati,Amravati,MAHARASHTRA,10
Amritsar -I,Amritsar,PUNJAB,25
Amritsar- II,Amritsar,PUNJAB,323
Amroha,Jyotiba Phule Nagar,UTTAR PRADESH,2
Anakapalle,Visakhapatnam,ANDHRA PRADESH,28
Anand,Anand,GUJARAT,12
Anandapuram,Visakhapatnam,ANDHRA PRADESH,2
Anandpur Sahib,Rupnagar,PUNJAB,1
Anantapur,Anantapur,ANDHRA PRADESH,39
Ananthagiri,Visakhapatnam,ANDHRA PRADESH,1
Anekal,Bangalore,KARNATAKA,979
Anklesvar,Bharuch,GUJARAT,169
Ankola,Uttara Kannada,KARNATAKA,1
Arakonam,Vellore,TAMILNADU,256
Araria,Araria,BIHAR,1
Arcot,Vellore,TAMILNADU,10
Armur,Nizamabad,TELANGANA,3
Aruppukkottai,Virudhunagar,TAMILNADU,9
Asansol Kulti Township,Paschim Bardhaman,WEST BENGAL,18
Asifnagar,Hyderabad,TELANGANA,130
Asind,Bhilwara,RAJASTHAN,2
Athmalgola,Patna,BIHAR,6
Athni,Belagavi,KARNATAKA,6
Atmakur,Warangal,TELANGANA,2
Atreyapuram,East Godavari,ANDHRA PRADESH,5
Atru,Baran,RAJASTHAN,4
Attabira,Bargarh,ODISHA,20
Attur,Dindigul,TAMILNADU,17
Attur,Salem,TAMILNADU,9
Aundha (Nagnath),Hingoli,MAHARASHTRA,41
Auraiya,Auraiya,UTTAR PRADESH,104
Aurangabad,Aurangabad,BIHAR,1
Aurangabad,Aurangabad,MAHARASHTRA,227
Aut,Mandi,HIMACHAL PRADESH,1
Avanashi,Tiruppur,TAMILNADU,10
Azamnagar,Katihar,BIHAR,19
Azara,Kamrup Metropolitan,ASSAM,291
BRAHMAPUR SADAR,Ganjam,ODISHA,1
Baba Bakala,Amritsar,PUNJAB,23
Badachana,Jajapur,ODISHA,18
Badami,Bagalkote,KARNATAKA,4
Badnapur,Jalna,MAHARASHTRA,20
Badnawar,Dhar,MADHYA PRADESH,1
Bagalkot,Bagalkote,KARNATAKA,4
Baghmara-Cum-Katras,Dhanbad,JHARKHAND,1
Bagli,Dewas,MADHYA PRADESH,1
Bagnan - II,Haora,WEST BENGAL,2
Bahadurgarh,Jhajjar,HARYANA,18
Bahadurpur,Darbhanga,BIHAR,4
Baijnath,Kangra,HIMACHAL PRADESH,4
Bairia,Ballia,UTTAR PRADESH,1
Baisinga,Mayurbhanj,ODISHA,1
Bakhtiarpur,Patna,BIHAR,4
Bakshi Ka Talab,Lucknow,UTTAR PRADESH,2
Balachaur,Shahid Bhagat Singh Nagar,PUNJAB,22
Balanagar,Mahbubnagar,TELANGANA,52
Balanagar,Rangareddy,TELANGANA,643
Balangir,Balangir,ODISHA,192
Baleshwar (M),Baleshwar,ODISHA,29
Baleshwar Sadar,Baleshwar,ODISHA,4
Baliapur,Dhanbad,JHARKHAND,2
Balkonda,Nizamabad,TELANGANA,2
Ballabgarh,Faridabad,HARYANA,5
Ballarpur,Chandrapur,MAHARASHTRA,30
Ballia,Ballia,UTTAR PRADESH,1
Bally Jagachha,Haora,WEST BENGAL,24
Balrampur,Balrampur,UTTAR PRADESH,20
Balrampur,Katihar,BIHAR,24
Balurghat,Dakshin Dinajpur,WEST BENGAL,1
Bampada,Baleshwar,ODISHA,2
Bandlaguda,Hyderabad,TELANGANA,75
Bangalore East,Bangalore,KARNATAKA,4591
Bangalore North,Bangalore,KARNATAKA,8602
Bangalore South,Bangalore,KARNATAKA,6998
Bangarapet,Kolar,KARNATAKA,108
Bangarupalem,Chittoor,ANDHRA PRADESH,17
Bangomunda,Balangir,ODISHA,66
Banjaria,Purba Champaran,BIHAR,3
Banka,Banka,BIHAR,12
Bansihari,Dakshin Dinajpur,WEST BENGAL,10
Banswada,Nizamabad,TELANGANA,84
Banswara,Banswara,RAJASTHAN,1
Bantval,Dakshina Kannada,KARNATAKA,28
Bapatla,Guntur,ANDHRA PRADESH,34
