operator,city_name,deployment_type,status,lat,long
Airtel,Hyderabad,5G NR,Commercial Availability,17.38504,78.48667
Airtel,Gurugram,5G NR,Commercial Availability,28.388,76.91378
Airtel,Mumbai,5G NR,Commercial Availability,19.07598,72.87766
Airtel,Manesar,5G NR,Pre-Release,28.350722,76.942759
Airtel,Delhi,5G NR,Commercial Availability,28.70406,77.10249
Airtel,Kolkata,5G NR,Commercial Availability,22.57265,88.3639
Airtel,Varanasi,5G NR,Commercial Availability,25.31765,82.97391
Airtel,Bengaluru,5G NR,Commercial Availability,12.9716,77.59456
Airtel,Chennai,5G NR,Commercial Availability,13.08268,80.27072
Airtel,Nagpur,5G NR,Commercial Availability,21.1458,79.08815
Airtel,Siliguri,5G NR,Commercial Availability,26.70838,88.42687
Airtel,Panipat,5G NR,Commercial Availability,29.39095,76.9635
Airtel,Guwahati,5G NR,Commercial Availability,26.14452,91.73624
Airtel,Patna,5G NR,Commercial Availability,25.59409,85.13756
Airtel,Pune,5G NR,Commercial Availability,18.52043,73.85674
Airtel,Lucknow,5G NR,Commercial Availability,26.84669,80.94617
Airtel,Ahmedabad,5G NR,Commercial Availability,23.02251,72.57136
Airtel,Gandhinagar,5G NR,Commercial Availability,23.21564,72.63694
Airtel,Imphal,5G NR,Commercial Availability,24.81701,93.93684
Airtel,Indore,5G NR,Commercial Availability,22.71957,75.85773
Airtel,Jammu,5G NR,Commercial Availability,32.7266,74.85703
Airtel,Shimla,5G NR,Commercial Availability,31.10481,77.1734
Airtel,Srinagar,5G NR,Commercial Availability,34.08367,74.79728
Airtel,Visakhapatnam,5G NR,Commercial Availability,17.68682,83.21848
Airtel,Bhagalpur,5G NR,Commercial Availability,25.24143,86.99244
Airtel,Bhubaneswar,5G NR,Commercial Availability,20.29606,85.82454
Airtel,Cuttack,5G NR,Commercial Availability,20.4686,85.8792
Airtel,Hisar,5G NR,Commercial Availability,29.14919,75.72165
Airtel,Jamshedpur,5G NR,Commercial Availability,22.80457,86.20288
Airtel,Kochi,5G NR,Commercial Availability,9.93123,76.2673
Airtel,Muzaffarpur,5G NR,Commercial Availability,26.12089,85.36472
Airtel,Ranchi,5G NR,Commercial Availability,23.3441,85.30956
Airtel,Rohtak,5G NR,Commercial Availability,28.89552,76.60661
Airtel,Rourkela,5G NR,Commercial Availability,22.26042,84.85358
Airtel,Shillong,5G NR,Commercial Availability,25.57877,91.89325
Airtel,Prayagraj,5G NR,Commercial Availability,25.4381302,81.8338005
Airtel,Kanpur,5G NR,Commercial Availability,26.4609135,80.3217588
Airtel,Gorakhpur,5G NR,Commercial Availability,26.76055,83.37317
Airtel,Meerut,5G NR,Commercial Availability,28.9963296,77.7061915
Airtel,Agra,5G NR,Commercial Availability,27.1752554,78.0098161
Airtel,Kota,5G NR,Commercial Availability,25.21382,75.86475
Airtel,Udaipur,5G NR,Commercial Availability,24.578721,73.6862571
Airtel,Jaipur,5G NR,Commercial Availability,26.9154576,75.8189817
Airtel,Noida,5G NR,Commercial Availability,28.53552,77.39103
Airtel,Ghaziabad,5G NR,Commercial Availability,28.66916,77.45376
Airtel,Faridabad,5G NR,Commercial Availability,28.40891,77.31779
Airtel,Dehradun,5G NR,Commercial Availability,30.31649,78.03219
Airtel,Agartala,5G NR,Commercial Availability,23.83146,91.28678
Airtel,Bodh Gaya,5G NR,Commercial Availability,24.69518,84.986998
Airtel,Puri,5G NR,Commercial Availability,19.81338,85.83147
Airtel,Tiruchirappalli,5G NR,Commercial Availability,10.79048,78.70467
Airtel,Hosur,5G NR,Commercial Availability,12.74091,77.82529
Airtel,Madurai,5G NR,Commercial Availability,9.9252,78.11978
Airtel,Coimbatore,5G NR,Commercial Availability,11.01684,76.95583
Airtel,Guntur,5G NR,Commercial Availability,16.30665,80.43654
Airtel,Kakinada,5G NR,Commercial Availability,16.98906,82.24746
Airtel,Karimnagar,5G NR,Commercial Availability,18.43856,79.12884
Airtel,Kathua,5G NR,Commercial Availability,32.38648,75.51727
Airtel,Khour,5G NR,Commercial Availability,32.6023,74.808357
Airtel,Kupwara,5G NR,Commercial Availability,34.52581,74.254425
Airtel,Kurnool,5G NR,Commercial Availability,15.82813,78.03728
Airtel,Lakhanpur,5G NR,Commercial Availability,27.21662,77.92103
Airtel,Rajamahendravaram,5G NR,Commercial Availability,17.00054,81.80403
Airtel,Samba,5G NR,Commercial Availability,32.552309,75.110561
Airtel,Tirupati,5G NR,Commercial Availability,13.62876,79.41918
Airtel,Udhampur,5G NR,Commercial Availability,32.91598,75.14162
Airtel,Vijayawada,5G NR,Commercial Availability,16.50617,80.64802
Airtel,Warangal,5G NR,Commercial Availability,17.9689,79.59405
Airtel,Thrissur,5G NR,Commercial Availability,10.5256264,76.2132542
Airtel,Thiruvananthapuram,5G NR,Commercial Availability,8.52414,76.93664
Airtel,Kozhikode,5G NR,Commercial Availability,11.2450558,75.7754716
Airtel,Itanagar,5G NR,Commercial Availability,27.08437,93.60532
Airtel,Gwalior,5G NR,Commercial Availability,26.21829,78.18283
Airtel,Ujjain,5G NR,Commercial Availability,23.17960965,75.78871946
Airtel,Bhopal,5G NR,Commercial Availability,23.25993,77.41262
Airtel,Raipur,5G NR,Commercial Availability,21.25138,81.62964
Airtel,Bhilai,5G NR,Commercial Availability,21.19385,81.35094
Airtel,Balasore,5G NR,Commercial Availability,21.48693,86.9246
Airtel,Brahmapur,5G NR,Commercial Availability,19.31496,84.79409
Airtel,Sambalpur,5G NR,Commercial Availability,21.46687,83.98117
Airtel,Angul,5G NR,Commercial Availability,20.8444,85.15108
Airtel,Rajkot,5G NR,Commercial Availability,22.30389,70.80216
Airtel,Vadodara,5G NR,Commercial Availability,22.30716,73.18122
Airtel,Surat,5G NR,Commercial Availability,21.17024,72.83106
Airtel,Dharamshala,5G NR,Commercial Availability,32.21904,76.3234
Airtel,Mandi,5G NR,Commercial Availability,31.707399,76.932121
Airtel,Baddi,5G NR,Commercial Availability,30.95783,76.79136
Airtel,Bahadurgarh,5G NR,Commercial Availability,28.69245,76.92397
Airtel,Yamuna Nagar,5G NR,Commercial Availability,30.12905,77.26739
Airtel,Sonipat,5G NR,Commercial Availability,28.92877,77.09128
Airtel,Karnal,5G NR,Commercial Availability,29.68569,76.99048
Airtel,Ambala,5G NR,Commercial Availability,30.37818,76.7767
Airtel,Kohima,5G NR,Commercial Availability,25.6586,94.10533
Airtel,Aizawl,5G NR,Commercial Availability,23.72711,92.71764
Airtel,Gangtok,5G NR,Commercial Availability,27.33894,88.6065
Airtel,Silchar,5G NR,Commercial Availability,24.83327,92.77891
Airtel,Dibrugarh,5G NR,Commercial Availability,27.47283,94.91196
Airtel,Tinsukia,5G NR,Commercial Availability,27.49219,95.34678
Airtel,Ajmer,5G NR,Commercial Availability,26.4499,74.63992
Airtel,Alwar,5G NR,Commercial Availability,27.55299,76.63457
Airtel,Bargarh,5G NR,Commercial Availability,21.33323,83.61889
Airtel,Barh,5G NR,Commercial Availability,25.47759,85.70909
Airtel,Begusarai,5G NR,Commercial Availability,25.41668,86.12938
Airtel,Bhawanipatna,5G NR,Commercial Availability,19.90743,83.16416
Airtel,Bhilwara,5G NR,Commercial Availability,25.32138,74.58695
Airtel,Bihar Sharif,5G NR,Commercial Availability,25.19821,85.51487
Airtel,Bihta,5G NR,Commercial Availability,25.56332,84.86981
Airtel,Bikaner,5G NR,Commercial Availability,28.02293,73.31192
Airtel,Dhenkanal,5G NR,Commercial Availability,20.65035,85.59722
Airtel,Gopalganj,5G NR,Commercial Availability,23.01301,89.82241
Airtel,Haridwar,5G NR,Commercial Availability,29.94569,78.16425
Airtel,Jharsuguda,5G NR,Commercial Availability,21.85544,84.00617
Airtel,Jodhpur,5G NR,Commercial Availability,26.2967719,73.0351433
Airtel,Katihar,5G NR,Commercial Availability,25.55205,87.57186
Airtel,Kishanganj,5G NR,Commercial Availability,26.09174,87.93838
Airtel,Nawada,5G NR,Commercial Availability,24.89108,85.53547
Airtel,Paradeep,5G NR,Commercial Availability,20.31655,86.61136
Airtel,Purnia,5G NR,Commercial Availability,25.82574,87.48453
Airtel,Sonepur,5G NR,Commercial Availability,25.69837,85.16608
Airtel,Ananthapuram,5G NR,Commercial Availability,14.68073,78.64826
