operator,city_name,deployment_type,status,lat,long
Reliance Jio,Mumbai,5G NR,Commercial Availability,19.07598,72.87766
Reliance Jio,Varanasi,5G NR,Commercial Availability,25.31765,82.97391
Reliance Jio,Kolkata,5G NR,Commercial Availability,22.57265,88.3639
Reliance Jio,Delhi,5G NR,Commercial Availability,28.70406,77.10249
Reliance Jio,Chennai,5G NR,Commercial Availability,13.08268,80.27072
Reliance Jio,Nathdwara,5G NR,Commercial Availability,24.92914,73.82132
Reliance Jio,Bengaluru,5G NR,Commercial Availability,12.9716,77.59456
Reliance Jio,Hyderabad,5G NR,Commercial Availability,17.38504,78.48667
Reliance Jio,Faridabad,5G NR,Commercial Availability,28.40891,77.31779
Reliance Jio,Ghaziabad,5G NR,Commercial Availability,28.66916,77.45376
Reliance Jio,Gurugram,5G NR,Commercial Availability,28.388,76.91378
Reliance Jio,Noida,5G NR,Commercial Availability,28.53552,77.39103
Reliance Jio,Pune,5G NR,Commercial Availability,18.52043,73.85674
Reliance Jio,Ahmedabad,5G NR,Commercial Availability,23.02251,72.57136
Reliance Jio,Morbi,5G NR,Commercial Availability,22.81199,70.82362
Reliance Jio,Vyara,5G NR,Commercial Availability,21.11256,73.38855
Reliance Jio,Vadodara,5G NR,Commercial Availability,22.30716,73.18122
Reliance Jio,Surat,5G NR,Commercial Availability,21.17024,72.83106
Reliance Jio,Rajkot,5G NR,Commercial Availability,22.30389,70.80216
Reliance Jio,Kalol,5G NR,Commercial Availability,23.24639,72.50865
Reliance Jio,Aurangabad,5G NR,Commercial Availability,19.87617,75.34331
Reliance Jio,Bhopal,5G NR,Commercial Availability,23.25993,77.41262
Reliance Jio,Chandigarh,5G NR,Commercial Availability,30.73331,76.77942
Reliance Jio,Dera Bassi,5G NR,Commercial Availability,30.5964,76.84327
Reliance Jio,Guntur,5G NR,Commercial Availability,16.30665,80.43654
Reliance Jio,Kharar,5G NR,Commercial Availability,30.74888,76.64136
Reliance Jio,Kochi,5G NR,Commercial Availability,9.93123,76.2673
Reliance Jio,Lucknow,5G NR,Commercial Availability,26.84669,80.94617
Reliance Jio,Mysuru,5G NR,Commercial Availability,12.29581,76.63938
Reliance Jio,Nashik,5G NR,Commercial Availability,19.99745,73.7898
Reliance Jio,Panchkula,5G NR,Commercial Availability,30.69421,76.86057
Reliance Jio,Thiruvananthapuram,5G NR,Commercial Availability,8.52414,76.93664
Reliance Jio,Tirupati,5G NR,Commercial Availability,13.62876,79.41918
Reliance Jio,Vijayawada,5G NR,Commercial Availability,16.50617,80.64802
Reliance Jio,Visakhapatnam,5G NR,Commercial Availability,17.68682,83.21848
Reliance Jio,Zirakpur,5G NR,Commercial Availability,30.64255,76.81734
Reliance Jio,Agra,5G NR,Commercial Availability,27.1752554,78.0098161
Reliance Jio,Ahmednagar,5G NR,Commercial Availability,19.092952,74.7493451
Reliance Jio,Ahwa,5G NR,Commercial Availability,20.75845,73.68642
Reliance Jio,Amreli,5G NR,Commercial Availability,21.60318,71.22208
Reliance Jio,Anand,5G NR,Commercial Availability,22.56452,72.92887
Reliance Jio,Belagavi,5G NR,Commercial Availability,15.8497,74.49767
Reliance Jio,Bharuch,5G NR,Commercial Availability,21.70514,72.99587
Reliance Jio,Bhavnagar,5G NR,Commercial Availability,21.76447,72.15193
Reliance Jio,Bhubaneswar,5G NR,Commercial Availability,20.29606,85.82454
Reliance Jio,Bhuj,5G NR,Commercial Availability,23.242,69.66693
Reliance Jio,Botad,5G NR,Commercial Availability,22.17042,71.66843
Reliance Jio,Chhota Udepur,5G NR,Commercial Availability,22.30849,74.012
Reliance Jio,Coimbatore,5G NR,Commercial Availability,11.01684,76.95583
Reliance Jio,Cuttack,5G NR,Commercial Availability,20.4686,85.8792
Reliance Jio,Dahod,5G NR,Commercial Availability,22.83793,74.25315
Reliance Jio,Dehradun,5G NR,Commercial Availability,30.31649,78.03219
Reliance Jio,Godhra,5G NR,Commercial Availability,22.7788,73.61428
Reliance Jio,Guruvayu,5G NR,Commercial Availability,10.59447893,76.03935649
Reliance Jio,Guwahati,5G NR,Commercial Availability,26.14452,91.73624
Reliance Jio,Gwalior,5G NR,Commercial Availability,26.2037247,78.1573628
Reliance Jio,Himatnagar,5G NR,Commercial Availability,23.61477,73.03052
Reliance Jio,Hosur,5G NR,Commercial Availability,12.74091,77.82529
Reliance Jio,Hubli,5G NR,Commercial Availability,15.36471,75.12395
Reliance Jio,Indore,5G NR,Commercial Availability,22.71957,75.85773
Reliance Jio,Jabalpur,5G NR,Commercial Availability,23.1608938,79.9497702
Reliance Jio,Jaipur,5G NR,Commercial Availability,26.9154576,75.8189817
Reliance Jio,Jamnagar,5G NR,Commercial Availability,22.4707,70.05773
Reliance Jio,Jodhpur,5G NR,Commercial Availability,26.2967719,73.0351433
Reliance Jio,Junagadh,5G NR,Commercial Availability,21.52218,70.45788
Reliance Jio,Kanpur,5G NR,Commercial Availability,26.4609135,80.3217588
Reliance Jio,Karimnagar,5G NR,Commercial Availability,18.43856,79.12884
Reliance Jio,Khambhalia,5G NR,Commercial Availability,22.20526,69.65878
Reliance Jio,Kozhikode,5G NR,Commercial Availability,11.2450558,75.7754716
Reliance Jio,Ludhiana,5G NR,Commercial Availability,30.9090157,75.851601
Reliance Jio,Lunawada,5G NR,Commercial Availability,23.13326,73.61607
Reliance Jio,Madurai,5G NR,Commercial Availability,9.9252,78.11978
Reliance Jio,Mangaluru,5G NR,Commercial Availability,12.91414,74.85596
Reliance Jio,Meerut,5G NR,Commercial Availability,28.9963296,77.7061915
Reliance Jio,Mehsana,5G NR,Commercial Availability,23.58796,72.36933
Reliance Jio,Modasa,5G NR,Commercial Availability,23.46287,73.29994
Reliance Jio,Mohali,5G NR,Commercial Availability,30.7041168,76.7176885
Reliance Jio,Nadiad,5G NR,Commercial Availability,22.69159,72.86336
Reliance Jio,Nagpur,5G NR,Commercial Availability,21.1458,79.08815
Reliance Jio,Navsari,5G NR,Commercial Availability,20.9467,72.95203
Reliance Jio,Nellore,5G NR,Commercial Availability,14.4426,79.98646
Reliance Jio,Palanpur,5G NR,Commercial Availability,24.17405,72.4331
Reliance Jio,Patan,5G NR,Commercial Availability,23.84932,72.12663
Reliance Jio,Porbandar,5G NR,Commercial Availability,21.64171,69.62927
Reliance Jio,Prayagraj,5G NR,Commercial Availability,25.4381302,81.8338005
Reliance Jio,Rajpipla,5G NR,Commercial Availability,21.87151,73.50305
Reliance Jio,Salem,5G NR,Commercial Availability,11.66433,78.14601
Reliance Jio,Siliguri,5G NR,Commercial Availability,26.70838,88.42687
Reliance Jio,Solapur,5G NR,Commercial Availability,17.65992,75.90639
Reliance Jio,Thrissur,5G NR,Commercial Availability,10.5256264,76.2132542
Reliance Jio,Tiruchirappalli,5G NR,Commercial Availability,10.79048,78.70467
Reliance Jio,Tirumala,5G NR,Commercial Availability,13.67818,79.35219
Reliance Jio,Udaipur,5G NR,Commercial Availability,24.578721,73.6862571
Reliance Jio,Ujjain,5G NR,Commercial Availability,23.17960965,75.78871946
Reliance Jio,Valsad,5G NR,Commercial Availability,20.59923,72.93425
Reliance Jio,Vellore,5G NR,Commercial Availability,12.91652,79.1325
Reliance Jio,Veraval,5G NR,Commercial Availability,20.9101099,70.365279
Reliance Jio,Wadhwan,5G NR,Commercial Availability,18.31394,73.24723
Reliance Jio,Warangal,5G NR,Commercial Availability,17.9689,79.59405
Reliance Jio,Kakinada,5G NR,Commercial Availability,16.98906,82.24746
Reliance Jio,Kurnool,5G NR,Commercial Availability,15.82813,78.03728
Reliance Jio,Silchar,5G NR,Commercial Availability,24.83327,92.77891
Reliance Jio,Davangere,5G NR,Commercial Availability,14.46634,75.92384
Reliance Jio,Shivamogga,5G NR,Commercial Availability,13.92993,75.5681
Reliance Jio,Bidar,5G NR,Commercial Availability,17.91488,77.50461
Reliance Jio,Hosapete,5G NR,Commercial Availability,15.26885,76.39092
Reliance Jio,Betageri,5G NR,Commercial Availability,15.4415,75.64699
Reliance Jio,Malappuram,5G NR,Commercial Availability,11.07318,76.074
Reliance Jio,Palakkad,5G NR,Commercial Availability,10.78673,76.65479
Reliance Jio,Kannur,5G NR,Commercial Availability,11.90135,75.38679
Reliance Jio,Tiruppur,5G NR,Commercial Availability,11.10852,77.34107
Reliance Jio,Nizamabad,5G NR,Commercial Availability,18.6725,78.09409
Reliance Jio,Bareilly,5G NR,Commercial Availability,28.36704,79.43044
Reliance Jio,Aizawl,5G NR,Commercial Availability,23.72711,92.71764
Reliance Jio,Alappuzha,5G NR,Commercial Availability,9.49807,76.33885
Reliance Jio,Aligarh,5G NR,Commercial Availability,27.89739,78.08801
Reliance Jio,Ambala,5G NR,Commercial Availability,30.37818,76.7767
Reliance Jio,Rourkela,5G NR,Commercial Availability,22.26042,84.85358
Reliance Jio,Amravati,5G NR,Commercial Availability,20.93742,77.77955
Reliance Jio,Amritsar,5G NR,Commercial Availability,31.63398,74.87226
Reliance Jio,Asansol,5G NR,Commercial Availability,23.67395,86.9524
Reliance Jio,Bagalkot,5G NR,Commercial Availability,16.17254,75.65572
Reliance Jio,Jamshedpur,5G NR,Commercial Availability,22.80457,86.20288
Reliance Jio,Ranchi,5G NR,Commercial Availability,23.3441,85.30956
Reliance Jio,Muzaffarpur,5G NR,Commercial Availability,26.12089,85.36472
