operator,city_name,deployment_type,status,lat,long
Reliance Jio,Mumbai,5G NR,Commercial Availability,19.07598,72.87766
Airtel,Hyderabad,5G NR,Commercial Availability,17.38504,78.48667
Airtel,Gurugram,5G NR,Commercial Availability,28.388,76.91378
Airtel,Mumbai,5G NR,Commercial Availability,19.07598,72.87766
Vodafone Idea,Gandhinagar,5G NR,Pre-Release,23.21564,72.63694
Vodafone Idea,Pune,5G NR,Pre-Release,18.52043,73.85674
Airtel,Manesar,5G NR,Pre-Release,28.350722,76.942759
Airtel,Delhi,5G NR,Commercial Availability,28.70406,77.10249
Airtel,Kolkata,5G NR,Commercial Availability,22.57265,88.3639
Airtel,Varanasi,5G NR,Commercial Availability,25.31765,82.97391
Airtel,Bengaluru,5G NR,Commercial Availability,12.9716,77.59456
Airtel,Chennai,5G NR,Commercial Availability,13.08268,80.27072
Airtel,Nagpur,5G NR,Commercial Availability,21.1458,79.08815
Airtel,Siliguri,5G NR,Commercial Availability,26.70838,88.42687
Vodafone Idea,Delhi,5G NR,Pre-Release,28.70406,77.10249
Reliance Jio,Varanasi,5G NR,Commercial Availability,25.31765,82.97391
Reliance Jio,Kolkata,5G NR,Commercial Availability,22.57265,88.3639
Reliance Jio,Delhi,5G NR,Commercial Availability,28.70406,77.10249
Reliance Jio,Chennai,5G NR,Commercial Availability,13.08268,80.27072
Reliance Jio,Nathdwara,5G NR,Commercial Availability,24.92914,73.82132
Airtel,Panipat,5G NR,Commercial Availability,29.39095,76.9635
Reliance Jio,Bengaluru,5G NR,Commercial Availability,12.9716,77.59456
Reliance Jio,Hyderabad,5G NR,Commercial Availability,17.38504,78.48667
Airtel,Guwahati,5G NR,Commercial Availability,26.14452,91.73624
Reliance Jio,Faridabad,5G NR,Commercial Availability,28.40891,77.31779
Reliance Jio,Ghaziabad,5G NR,Commercial Availability,28.66916,77.45376
Reliance Jio,Gurugram,5G NR,Commercial Availability,28.388,76.91378
Reliance Jio,Noida,5G NR,Commercial Availability,28.53552,77.39103
Airtel,Patna,5G NR,Commercial Availability,25.59409,85.13756
Reliance Jio,Pune,5G NR,Commercial Availability,18.52043,73.85674
Airtel,Pune,5G NR,Commercial Availability,18.52043,73.85674
Reliance Jio,Ahmedabad,5G NR,Commercial Availability,23.02251,72.57136
Reliance Jio,Morbi,5G NR,Commercial Availability,22.81199,70.82362
Reliance Jio,Vyara,5G NR,Commercial Availability,21.11256,73.38855
