State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,sdtname,dtname,stname,number_of_cell_towers,cell_towers_per_area,% Rural_pop_per_area,% Rural_house_per_area
1,2,7,Budgam,19774,133855,146.16,916.0,JAMMU & KASHMIR,Badgam,135.29009304871374,82.9673900862874,83.52887630221502,89.92884510125889,Budgam,Badgam,JAMMU & KASHMIR,2,0.0136836343732895,0.5676477154234223,0.57148930146562
1,6,22,Rajauri,36640,189067,593.49,319.0,JAMMU & KASHMIR,Rajouri,61.73650777603666,84.40447037293659,88.08951965065502,97.82810156868692,Rajauri,Rajouri,JAMMU & KASHMIR,2,0.0033698967126657,0.14221717362202663,0.14842629134552396
1,7,30,Kathua,41206,210949,563.89,374.0,JAMMU & KASHMIR,Kathua,73.07453581372253,66.33878330781374,65.53657234383343,94.6443455283832,Kathua,Kathua,JAMMU & KASHMIR,1,0.0017733955204029,0.1176449011470566,0.1162222638171158
1,8,32,Sopore,33709,219913,170.09,1293.0,JAMMU & KASHMIR,Baramula,198.1833147157388,67.58172550053885,66.79818446112314,88.88823563995531,Sopore,Baramula,JAMMU & KASHMIR,1,0.00587924040214,0.39732921100910606,0.3927225848734384
1,8,35,Baramulla,24196,149649,122.36,1223.0,JAMMU & KASHMIR,Baramula,197.74436090225564,52.26563491904389,51.54157712018515,80.40209218698921,Baramulla,Baramula,JAMMU & KASHMIR,2,0.01634521085322,0.4271464115645954,0.42122897286846317
1,10,43,Srinagar (North),188079,1216358,298.07,4081.0,JAMMU & KASHMIR,Srinagar,630.9893649142819,0.8969398811862955,0.9091924138261048,3.888348374542893,Srinagar (North),Srinagar,JAMMU & KASHMIR,1,0.0033549166303217,0.0030091585237907053,0.0030502647493075613
1,10,44,Srinagar (South),3599,20471,12.42,1648.0,JAMMU & KASHMIR,Srinagar,289.7745571658615,31.27839382541156,31.508752431230896,35.18518518518518,Srinagar (South),Srinagar,JAMMU & KASHMIR,1,0.0805152979066022,2.51838919689304,2.5369365886659336
1,11,47,Ganderbal,13415,85818,85.96,998.0,JAMMU & KASHMIR,Ganderbal,156.06095858538856,57.38889277307791,59.61237420797615,81.54955793392276,Ganderbal,Ganderbal,JAMMU & KASHMIR,1,0.0116333178222429,0.6676232290958343,0.6934896952998623
1,14,55,Anantnag,48726,364763,188.83,1932.0,JAMMU & KASHMIR,Anantnag,258.04162474183124,49.21825952741917,53.34934121413619,75.79304135995339,Anantnag,Anantnag,JAMMU & KASHMIR,1,0.005295768680824,0.26064851732997496,0.2825257703444166
1,19,72,Udhampur,50555,275559,808.71,341.0,JAMMU & KASHMIR,Udhampur,62.51313820776298,64.53354816935756,63.96597764810602,95.3852431650406,Udhampur,Udhampur,JAMMU & KASHMIR,1,0.0012365372012216,0.07979813303824307,0.07909631097439876
