sdtname,dtname,stname,number_of_cell_towers
Abohar,Fazilka,PUNJAB,1
Achalpur,Amravati,MAHARASHTRA,1
Adilabad,Adilabad,TELANGANA,1
Adoni,Kurnool,ANDHRA PRADESH,1
Afzalpur,Kalaburagi,KARNATAKA,2
Agastheeswaram,Kanniyakumari,TAMILNADU,1
Agra,Agra,UTTAR PRADESH,1
Ahmadabad City,Ahmadabad,GUJARAT,2
Ajmer,Ajmer,RAJASTHAN,1
Ajnala,Amritsar,PUNJAB,1
Akola,Akola,MAHARASHTRA,4
Alandur,Kancheepuram,TAMILNADU,7
Alangudi,Pudukkottai,TAMILNADU,1
Alangulam,Tirunelveli,TAMILNADU,1
Allahabad,Prayagraj,UTTAR PRADESH,3
Alur,Hassan,KARNATAKA,1
Aluva,Ernakulam,KERALA,4
Alwar,Alwar,RAJASTHAN,1
Amalapuram,East Godavari,ANDHRA PRADESH,1
Amalner,Jalgaon,MAHARASHTRA,2
Ambajipeta,East Godavari,ANDHRA PRADESH,1
Ambala,Ambala,HARYANA,1
Ambalappuzha,Alappuzha,KERALA,1
Ambattur,Thiruvallur,TAMILNADU,7
Ambejogai,Bid,MAHARASHTRA,1
Amber,Jaipur,RAJASTHAN,1
Ambikapur,Surguja,CHATTISGARH,1
Ambur,Vellore,TAMILNADU,1
Amloh,Fatehgarh Sahib,PUNJAB,1
Amravati,Amravati,MAHARASHTRA,1
Amreli,Amreli,GUJARAT,1
Amritsar- II,Amritsar,PUNJAB,2
Anakapalle,Visakhapatnam,ANDHRA PRADESH,1
Anand,Anand,GUJARAT,3
Anantapur,Anantapur,ANDHRA PRADESH,1
Anantnag,Anantnag,JAMMU & KASHMIR,1
Andipatti,Theni,TAMILNADU,1
Anekal,Bangalore,KARNATAKA,6
Anjangaon Surji,Amravati,MAHARASHTRA,1
Anklesvar,Bharuch,GUJARAT,1
Arani,Tiruvannamalai,TAMILNADU,1
Arcot,Vellore,TAMILNADU,1
Arni,Yavatmal,MAHARASHTRA,1
Arrah,Bhojpur,BIHAR,1
Arsikere,Hassan,KARNATAKA,1
Aruppukkottai,Virudhunagar,TAMILNADU,1
Asansol Kulti Township,Paschim Bardhaman,WEST BENGAL,1
Atpadi,Sangli,MAHARASHTRA,1
Attabira,Bargarh,ODISHA,1
Attur,Salem,TAMILNADU,2
Aurangabad,Aurangabad,MAHARASHTRA,1
Avanashi,Tiruppur,TAMILNADU,1
Avudayarkoil,Pudukkottai,TAMILNADU,2
Azamnagar,Katihar,BIHAR,1
BUGUDA,Ganjam,ODISHA,1
Badami,Bagalkote,KARNATAKA,1
Baddi,Solan,HIMACHAL PRADESH,1
Bagalkot,Bagalkote,KARNATAKA,1
Baghmara-Cum-Katras,Dhanbad,JHARKHAND,1
Baglan,Nashik,MAHARASHTRA,1
Bahadurgarh,Jhajjar,HARYANA,1
Bahadurpur,Darbhanga,BIHAR,1
Bakshi Ka Talab,Lucknow,UTTAR PRADESH,1
Balangir,Balangir,ODISHA,1
Balarampur,Puruliya,WEST BENGAL,1
Baleshwar (M),Baleshwar,ODISHA,2
Balijana,Goalpara,ASSAM,1
Baloda,Janjgir - Champa,CHATTISGARH,1
Balrampur,Balrampur,UTTAR PRADESH,1
Bangalore North,Bangalore,KARNATAKA,4
Bangalore South,Bangalore,KARNATAKA,2
Bangarapet,Kolar,KARNATAKA,1
Bankura - I,Bankura,WEST BENGAL,1
Bapatla,Guntur,ANDHRA PRADESH,1
Baramati,Pune,MAHARASHTRA,1
Baramulla,Baramula,JAMMU & KASHMIR,2
Baran,Baran,RAJASTHAN,1
Barasat - I,North Twenty Four Parganas,WEST BENGAL,1
Barasat - II,North Twenty Four Parganas,WEST BENGAL,1
Barauni,Begusarai,BIHAR,1
Barbhag,Nalbari,ASSAM,1
Barbil,Kendujhar,ODISHA,1
Bardez,North Goa,GOA,10
Bareilly,Bareilly,UTTAR PRADESH,1
Bargarh,Bargarh,ODISHA,1
Baripada Town,Mayurbhanj,ODISHA,1
Barmer,Barmer,RAJASTHAN,1
Barrackpur - I,North Twenty Four Parganas,WEST BENGAL,9
Barrackpur - II,North Twenty Four Parganas,WEST BENGAL,10
Baruipur,South Twenty Four Parganas,WEST BENGAL,4
Basavakalyan,Bidar,KARNATAKA,1
Basmath,Hingoli,MAHARASHTRA,1
Basti,Basti,UTTAR PRADESH,1
Batala,Gurdaspur,PUNJAB,1
Bathinda,Bathinda,PUNJAB,1
Beawar,Ajmer,RAJASTHAN,1
Begusarai,Begusarai,BIHAR,1
Belgaum,Belagavi,KARNATAKA,3
Bellary,Ballari,KARNATAKA,2
Belpahar,Jharsuguda,ODISHA,1
Berhampore,Murshidabad,WEST BENGAL,1
Betul,Betul,MADHYA PRADESH,1
Bhadgaon,Jalgaon,MAHARASHTRA,2
Bhadohi,Sant Ravidas Nagar (Bhadohi),UTTAR PRADESH,1
Bhadrak Rural,Bhadrak,ODISHA,1
Bhadravati,Shivamogga,KARNATAKA,2
Bhalki,Bidar,KARNATAKA,1
Bhandara,Bhandara,MAHARASHTRA,1
Bhangar - II,South Twenty Four Parganas,WEST BENGAL,1
Bharatpur,Bharatpur,RAJASTHAN,1
Bharuch,Bharuch,GUJARAT,1
Bhatapara,Baloda Bazar,CHATTISGARH,1
Bhatar,Purba Bardhaman,WEST BENGAL,2
Bhattiyat,Chamba,HIMACHAL PRADESH,1
Bhavani,Erode,TAMILNADU,1
Bhavnagar,Bhavnagar,GUJARAT,2
Bhiknoor,Nizamabad,TELANGANA,1
Bhilwara,Bhilwara,RAJASTHAN,1
Bhimavaram,West Godavari,ANDHRA PRADESH,1
Bhind,Bhind,MADHYA PRADESH,1
Bhiwandi,Thane,MAHARASHTRA,4
Bhiwani,Bhiwani,HARYANA,1
Bhokar,Nanded,MAHARASHTRA,1
Bhokardan,Jalna,MAHARASHTRA,1
Bhongir,Yadadri Bhuvanagiri,TELANGANA,1
Bhubaneswar (M.Corp.),Khordha,ODISHA,1
Bhuj,Kachchh,GUJARAT,4
Bhupalpalle,Warangal,TELANGANA,1
Bhusawal,Jalgaon,MAHARASHTRA,1
Bicholim,North Goa,GOA,1
Bid,Bid,MAHARASHTRA,1
Bidar,Bidar,KARNATAKA,1
Bihar,Nalanda,BIHAR,1
Bijapur,Vijayapura,KARNATAKA,2
Bikaner,Bikaner,RAJASTHAN,1
Bilari,Moradabad,UTTAR PRADESH,1
Bilaspur,Bilaspur,CHATTISGARH,1
Bilkhawthlir,Kolasib,MIZORAM,1
Bishnupur - I,South Twenty Four Parganas,WEST BENGAL,3
Bishnupur - II,South Twenty Four Parganas,WEST BENGAL,11
Bobbili,Vizianagaram,ANDHRA PRADESH,1
Bodhan,Nizamabad,TELANGANA,1
Bodinayakanur,Theni,TAMILNADU,1
Bolani,Kendujhar,ODISHA,1
Bolpur Sriniketan,Birbhum,WEST BENGAL,2
Borsad,Anand,GUJARAT,1
Botad,Botad,GUJARAT,1
Brahmapur (M.Corp.),Ganjam,ODISHA,1
Budgam,Badgam,JAMMU & KASHMIR,2
Budge Budge - I,South Twenty Four Parganas,WEST BENGAL,5
Budge Budge - II,South Twenty Four Parganas,WEST BENGAL,5
Buldana,Buldana,MAHARASHTRA,1
Burdwan - I,Purba Bardhaman,WEST BENGAL,1
Burgampahad,Bhadradri Kothagudem,TELANGANA,1
Burhanpur,Burhanpur,MADHYA PRADESH,1
Chakdah,Nadia,WEST BENGAL,1
Challakere,Chitradurga,KARNATAKA,1
Champa,Janjgir - Champa,CHATTISGARH,1
Chandausi,Moradabad,UTTAR PRADESH,1
Chandigarh,Chandigarh,CHANDIGARH,1
Chanditala - I,Hugli,WEST BENGAL,1
Chanditala - II,Hugli,WEST BENGAL,1
Chandrapur,Chandrapur,MAHARASHTRA,1
Changanassery,Kottayam,KERALA,2
Chas,Bokaro,JHARKHAND,2
Chavakkad,Thrissur,KERALA,2
Chengalpattu,Kancheepuram,TAMILNADU,6
Chengam,Tiruvannamalai,TAMILNADU,1
Chengannur,Alappuzha,KERALA,1
Chennai,Chennai,TAMILNADU,1
Cherthala,Alappuzha,KERALA,7
Chhatarpur,Chhatarpur,MADHYA PRADESH,1
Chhindwara,Chhindwara,MADHYA PRADESH,1
Chhota Udaipur,Chota Udaipur,GUJARAT,1
Chidambaram,Cuddalore,TAMILNADU,2
Chikkaballapura,Chikkaballapura,KARNATAKA,1
Chikmagalur,Chikkamagaluru,KARNATAKA,2
Chikodi,Belagavi,KARNATAKA,1
"Chilakaluripet
 H/O.Purushoth*",Guntur,ANDHRA PRADESH,1
Chinsurah - Magra,Hugli,WEST BENGAL,2
Chintamani,Chikkaballapura,KARNATAKA,1
Chirayinkeezhu,Thiruvananthapuram,KERALA,1
Chitapur,Kalaburagi,KARNATAKA,1
Chitradurga,Chitradurga,KARNATAKA,1
Chittoor,Chittoor,ANDHRA PRADESH,2
Chittur,Palakkad,KERALA,2
Chodavaram,Visakhapatnam,ANDHRA PRADESH,1
Chomu,Jaipur,RAJASTHAN,1
Chorasi,Surat,GUJARAT,1
Choudwar,Cuttack,ODISHA,1
Chumukedima,Dimapur,NAGALAND,1
Coimbatore North,Coimbatore,TAMILNADU,4
Coimbatore South,Coimbatore,TAMILNADU,6
Colliery,Anugul,ODISHA,1
Cuddalore,Cuddalore,TAMILNADU,2
Cuttack (M.Corp.) P.S,Cuttack,ODISHA,1
Dabhoi,Vadodara,GUJARAT,1
Dadri,Gautam Buddha Nagar,UTTAR PRADESH,2
Dameracherla,Nalgonda,TELANGANA,1
Danta,Banas Kantha,GUJARAT,1
Dantewada,Dakshin Bastar Dantewada,CHATTISGARH,1
Davanagere,Davanagere,KARNATAKA,1
Deesa,Banas Kantha,GUJARAT,1
Dehradun,Dehradun,UTTARAKHAND,2
Dehri,Rohtas,BIHAR,1
Deoghar,Deoghar,JHARKHAND,1
Deoni,Latur,MAHARASHTRA,1
Dera Bassi,Sahibzada Ajit Singh Nagar,PUNJAB,2
Dergaon,Golaghat,ASSAM,1
Devanahalli,Bengaluru Rural,KARNATAKA,1
Dewas,Dewas,MADHYA PRADESH,1
Dhamangaon Railway,Amravati,MAHARASHTRA,1
Dhamtari,Dhamtari,CHATTISGARH,1
Dhanbad-Cum-Kenduadih-Cum-Jag*,Dhanbad,JHARKHAND,1
Dhar,Dhar,MADHYA PRADESH,1
Dharmapuri,Dharmapuri,TAMILNADU,1
Dharmavaram,Anantapur,ANDHRA PRADESH,1
Dharmsala,Kangra,HIMACHAL PRADESH,1
Dharwad,Dharwad,KARNATAKA,1
Dhaulpur,Dhaulpur,RAJASTHAN,1
Dhemaji,Dhemaji,ASSAM,1
Dhenkanal Sadar,Dhenkanal,ODISHA,1
Dhubri (Pt),Dhubri,ASSAM,1
Dhule,Dhule,MAHARASHTRA,2
Dibrugarh East,Dibrugarh,ASSAM,1
Dimapur Sadar,Dimapur,NAGALAND,1
Dinapur-Cum-Khagaul,Patna,BIHAR,1
Dindigul,Dindigul,TAMILNADU,1
Diu,Diu,DAMAN & DIU,1
Dod Ballapur,Bengaluru Rural,KARNATAKA,1
Dohad,Dohad,GUJARAT,1
Domjur,Haora,WEST BENGAL,1
Dondi,Balod,CHATTISGARH,1
Donka,Karbi Anglong,ASSAM,1
Dumka,Dumka,JHARKHAND,1
Durg,Durg,CHATTISGARH,3
Eluru,West Godavari,ANDHRA PRADESH,2
English Bazar,Maldah,WEST BENGAL,2
Erki(Tamar II),Khunti,JHARKHAND,1
Ernad,Malappuram,KERALA,4
Erode,Erode,TAMILNADU,6
Etawah,Etawah,UTTAR PRADESH,1
Etmadpur,Agra,UTTAR PRADESH,1
Faizabad,Faizabad,UTTAR PRADESH,3
Falta,South Twenty Four Parganas,WEST BENGAL,1
Farakka,Murshidabad,WEST BENGAL,1
Faridabad,Faridabad,HARYANA,1
Faridpur,Bareilly,UTTAR PRADESH,1
Faridpur Durgapur,Paschim Bardhaman,WEST BENGAL,1
Fatehabad,Fatehabad,HARYANA,1
Fatehpur,Fatehpur,UTTAR PRADESH,1
Firozabad,Firozabad,UTTAR PRADESH,1
Firozpur,Firozpur,PUNJAB,2
Gadag,Gadag,KARNATAKA,3
Gadwal,Jogulamba Gadwal,TELANGANA,1
Gajwel,Medak,TELANGANA,1
Gandarvakkottai,Pudukkottai,TAMILNADU,1
Ganderbal,Ganderbal,JAMMU & KASHMIR,1
Gandevi,Navsari,GUJARAT,1
Gandhidham,Kachchh,GUJARAT,2
Gandhinagar,Gandhinagar,GUJARAT,2
Ganganagar,Ganganagar,RAJASTHAN,2
Gangavalli,Salem,TAMILNADU,1
Gangtok,East District,SIKKIM,1
Garividi,Vizianagaram,ANDHRA PRADESH,1
Gautam Buddha Nagar,Gautam Buddha Nagar,UTTAR PRADESH,1
Gaya Town C.D.Block,Gaya,BIHAR,1
Geesugonda,Warangal,TELANGANA,1
