State_code,District_code,Subdistrict_code,Subdistrict,Subdistrict_name,T/r/u,Number_of_villages_habitated,Unhabitated,Number of towns,Number of households,population,Area,population density
0,0,0,INDIA,INDIA,Total,597608,43324,7933,249501663,1210854977,3287469.0,382.0
0,0,0,INDIA,INDIA,Rural,597608,43324,0,168612897,833748852,3101473.97,279.0
0,0,0,INDIA,INDIA,Urban,0,0,7933,80888766,377106125,102252.03,3685.0
1,0,0,STATE,JAMMU & KASHMIR,Total,6337,216,122,2119718,12541302,222236.0,124.0
1,0,0,STATE,JAMMU & KASHMIR,Rural,6337,216,0,1553433,9108060,220990.1,91.0
1,0,0,STATE,JAMMU & KASHMIR,Urban,0,0,122,566285,3433242,1245.9,2755.0
1,1,0,DISTRICT,Kupwara,Total,353,9,10,113929,870354,2379.0,366.0
1,1,0,DISTRICT,Kupwara,Rural,353,9,0,101930,765625,2331.66,328.0
1,1,0,DISTRICT,Kupwara,Urban,0,0,10,11999,104729,47.34,2212.0
1,1,1,SUB-DISTRICT,Kupwara,Total,118,4,7,63022,540914,301.94,1791.0
1,1,1,SUB-DISTRICT,Kupwara,Rural,118,4,0,56014,465323,275.03,1692.0
1,1,1,SUB-DISTRICT,Kupwara,Urban,0,0,7,7008,75591,26.91,2809.0
1,1,2,SUB-DISTRICT,Handwara,Total,196,3,1,39485,269311,291.47,924.0
1,1,2,SUB-DISTRICT,Handwara,Rural,196,3,0,37474,255711,282.97,904.0
1,1,2,SUB-DISTRICT,Handwara,Urban,0,0,1,2011,13600,8.5,1600.0
1,1,3,SUB-DISTRICT,Karnah,Total,39,2,2,11422,60129,69.89,860.0
1,1,3,SUB-DISTRICT,Karnah,Rural,39,2,0,8442,44591,57.96,769.0
1,1,3,SUB-DISTRICT,Karnah,Urban,0,0,2,2980,15538,11.93,1302.0
1,2,0,DISTRICT,Badgam,Total,462,12,9,103363,753745,1361.0,554.0
1,2,0,DISTRICT,Badgam,Rural,462,12,0,89417,655833,1311.95,500.0
1,2,0,DISTRICT,Badgam,Urban,0,0,9,13946,97912,49.05,1996.0
1,2,4,SUB-DISTRICT,Khag,Total,49,0,0,8799,67596,61.12,1106.0
1,2,4,SUB-DISTRICT,Khag,Rural,49,0,0,8799,67596,61.12,1106.0
1,2,4,SUB-DISTRICT,Khag,Urban,0,0,0,0,0,0.0,0.0
1,2,5,SUB-DISTRICT,Beerwah,Total,102,2,2,20914,163333,134.07,1218.0
1,2,5,SUB-DISTRICT,Beerwah,Rural,102,2,0,19161,149671,126.77,1181.0
1,2,5,SUB-DISTRICT,Beerwah,Urban,0,0,2,1753,13662,7.3,1872.0
1,2,6,SUB-DISTRICT,Khansahib,Total,96,3,1,16432,123312,125.91,979.0
1,2,6,SUB-DISTRICT,Khansahib,Rural,96,3,0,16080,120682,121.61,992.0
1,2,6,SUB-DISTRICT,Khansahib,Urban,0,0,1,352,2630,4.3,612.0
1,2,7,SUB-DISTRICT,Budgam,Total,95,2,2,19774,133855,146.16,916.0
1,2,7,SUB-DISTRICT,Budgam,Rural,95,2,0,16517,111056,131.44,845.0
1,2,7,SUB-DISTRICT,Budgam,Urban,0,0,2,3257,22799,14.72,1549.0
1,2,8,SUB-DISTRICT,Chadoora,Total,104,4,3,30390,212233,194.67,1090.0
1,2,8,SUB-DISTRICT,Chadoora,Rural,104,4,0,23904,164945,172.74,955.0
1,2,8,SUB-DISTRICT,Chadoora,Urban,0,0,3,6486,47288,21.93,2156.0
1,2,9,SUB-DISTRICT,Charar- E- Shrief,Total,16,1,1,7054,53416,58.85,908.0
1,2,9,SUB-DISTRICT,Charar- E- Shrief,Rural,16,1,0,4956,41883,58.05,721.0
1,2,9,SUB-DISTRICT,Charar- E- Shrief,Urban,0,0,1,2098,11533,0.8,14416.0
1,3,0,DISTRICT,Leh,Total,111,1,3,21909,133487,45110.0,3.0
1,3,0,DISTRICT,Leh,Rural,111,1,0,14905,87816,45085.99,2.0
1,3,0,DISTRICT,Leh,Urban,0,0,3,7004,45671,24.01,1902.0
1,3,10,SUB-DISTRICT,Leh,Total,60,1,3,15497,93961,171.06,549.0
1,3,10,SUB-DISTRICT,Leh,Rural,60,1,0,8493,48290,147.05,328.0
1,3,10,SUB-DISTRICT,Leh,Urban,0,0,3,7004,45671,24.01,1902.0
1,3,11,SUB-DISTRICT,Nubra,Total,28,0,0,3606,22433,166.82,134.0
1,3,11,SUB-DISTRICT,Nubra,Rural,28,0,0,3606,22433,166.82,134.0
1,3,11,SUB-DISTRICT,Nubra,Urban,0,0,0,0,0,0.0,0.0
1,3,12,SUB-DISTRICT,Khalsi,Total,23,0,0,2806,17093,56.01,305.0
1,3,12,SUB-DISTRICT,Khalsi,Rural,23,0,0,2806,17093,56.01,305.0
1,3,12,SUB-DISTRICT,Khalsi,Urban,0,0,0,0,0,0.0,0.0
1,4,0,DISTRICT,Kargil,Total,125,2,1,18338,140802,14036.0,10.0
1,4,0,DISTRICT,Kargil,Rural,125,2,0,16147,124464,14033.86,9.0
1,4,0,DISTRICT,Kargil,Urban,0,0,1,2191,16338,2.14,7635.0
1,4,13,SUB-DISTRICT,Kargil,Total,64,2,1,10867,86461,84.16,1027.0
1,4,13,SUB-DISTRICT,Kargil,Rural,64,2,0,8676,70123,82.02,855.0
1,4,13,SUB-DISTRICT,Kargil,Urban,0,0,1,2191,16338,2.14,7635.0
1,4,14,SUB-DISTRICT,Sanku,Total,36,0,0,5144,40548,60.49,670.0
1,4,14,SUB-DISTRICT,Sanku,Rural,36,0,0,5144,40548,60.49,670.0
1,4,14,SUB-DISTRICT,Sanku,Urban,0,0,0,0,0,0.0,0.0
1,4,15,SUB-DISTRICT,Zanskar,Total,25,0,0,2327,13793,43.11,320.0
1,4,15,SUB-DISTRICT,Zanskar,Rural,25,0,0,2327,13793,43.11,320.0
1,4,15,SUB-DISTRICT,Zanskar,Urban,0,0,0,0,0,0.0,0.0
1,5,0,DISTRICT,Punch,Total,170,8,3,90261,476835,1674.0,285.0
1,5,0,DISTRICT,Punch,Rural,170,8,0,83045,438205,1649.92,266.0
1,5,0,DISTRICT,Punch,Urban,0,0,3,7216,38630,24.08,1604.0
1,5,16,SUB-DISTRICT,Haveli,Total,49,2,1,25558,132767,278.42,477.0
1,5,16,SUB-DISTRICT,Haveli,Rural,49,2,0,20615,105913,268.06,395.0
1,5,16,SUB-DISTRICT,Haveli,Urban,0,0,1,4943,26854,10.36,2592.0
1,5,17,SUB-DISTRICT,Mandi,Total,37,0,0,16313,77947,196.28,397.0
1,5,17,SUB-DISTRICT,Mandi,Rural,37,0,0,16313,77947,196.28,397.0
1,5,17,SUB-DISTRICT,Mandi,Urban,0,0,0,0,0,0.0,0.0
1,5,18,SUB-DISTRICT,Mendhar,Total,51,5,1,25334,141366,424.69,333.0
1,5,18,SUB-DISTRICT,Mendhar,Rural,51,5,0,24428,136333,415.84,328.0
1,5,18,SUB-DISTRICT,Mendhar,Urban,0,0,1,906,5033,8.85,569.0
1,5,19,SUB-DISTRICT,Surankote,Total,33,1,1,23056,124755,250.23,499.0
1,5,19,SUB-DISTRICT,Surankote,Rural,33,1,0,21689,118012,245.36,481.0
1,5,19,SUB-DISTRICT,Surankote,Urban,0,0,1,1367,6743,4.87,1385.0
1,6,0,DISTRICT,Rajouri,Total,375,10,4,130401,642415,2630.0,244.0
1,6,0,DISTRICT,Rajouri,Rural,375,10,0,122645,590101,2608.11,226.0
1,6,0,DISTRICT,Rajouri,Urban,0,0,4,7756,52314,21.89,2390.0
1,6,20,SUB-DISTRICT,Thanamandi,Total,32,0,1,13644,67773,148.69,456.0
1,6,20,SUB-DISTRICT,Thanamandi,Rural,32,0,0,12673,62283,144.51,431.0
1,6,20,SUB-DISTRICT,Thanamandi,Urban,0,0,1,971,5490,4.18,1313.0
1,6,21,SUB-DISTRICT,Darhal,Total,11,1,0,7612,36227,80.3,451.0
1,6,21,SUB-DISTRICT,Darhal,Rural,11,1,0,7612,36227,80.3,451.0
1,6,21,SUB-DISTRICT,Darhal,Urban,0,0,0,0,0,0.0,0.0
1,6,22,SUB-DISTRICT,Rajauri,Total,118,3,1,36640,189067,593.49,319.0
1,6,22,SUB-DISTRICT,Rajauri,Rural,118,3,0,32276,159581,580.6,275.0
1,6,22,SUB-DISTRICT,Rajauri,Urban,0,0,1,4364,29486,12.89,2288.0
1,6,23,SUB-DISTRICT,Budhal,Total,51,1,0,23676,123050,468.25,263.0
1,6,23,SUB-DISTRICT,Budhal,Rural,51,1,0,23676,123050,468.25,263.0
1,6,23,SUB-DISTRICT,Budhal,Urban,0,0,0,0,0,0.0,0.0
1,6,24,SUB-DISTRICT,Kalakote,Total,68,1,0,16243,72667,412.96,176.0
1,6,24,SUB-DISTRICT,Kalakote,Rural,68,1,0,16243,72667,412.96,176.0
1,6,24,SUB-DISTRICT,Kalakote,Urban,0,0,0,0,0,0.0,0.0
1,6,25,SUB-DISTRICT,Nowshehra,Total,52,4,1,18323,89416,482.03,185.0
1,6,25,SUB-DISTRICT,Nowshehra,Rural,52,4,0,17040,79008,477.4,165.0
1,6,25,SUB-DISTRICT,Nowshehra,Urban,0,0,1,1283,10408,4.63,2248.0
1,6,26,SUB-DISTRICT,Sunderbani,Total,43,0,1,14263,64215,333.43,193.0
1,6,26,SUB-DISTRICT,Sunderbani,Rural,43,0,0,13125,57285,333.24,172.0
