State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area
1,1,1,Kupwara,63022,540914,301.94,1791.0,JAMMU & KASHMIR,Kupwara,208.72358746770882,86.02532010633853,88.8800736250833,91.08763330463006
1,1,2,Handwara,39485,269311,291.47,924.0,JAMMU & KASHMIR,Kupwara,135.46848732288055,94.95007630583228,94.9069266810181,97.08374789858304
1,1,3,Karnah,11422,60129,69.89,860.0,JAMMU & KASHMIR,Kupwara,163.42824438403204,74.15889171614363,73.90999824899318,82.93031907282872
1,2,4,Khag,8799,67596,61.12,1106.0,JAMMU & KASHMIR,Badgam,143.96269633507853,100.0,100.0,100.0
1,2,5,Beerwah,20914,163333,134.07,1218.0,JAMMU & KASHMIR,Badgam,155.99313791303052,91.63549313365945,91.61805489146026,94.55508316551055
1,2,6,Khansahib,16432,123312,125.91,979.0,JAMMU & KASHMIR,Badgam,130.50591692478756,97.8671986505774,97.85783836416748,96.584862203161
1,2,7,Budgam,19774,133855,146.16,916.0,JAMMU & KASHMIR,Badgam,135.29009304871374,82.9673900862874,83.52887630221502,89.92884510125889
1,2,8,Chadoora,30390,212233,194.67,1090.0,JAMMU & KASHMIR,Badgam,156.11034057636002,77.71882789198663,78.65745310957551,88.73478193866544
1,2,9,Charar- E- Shrief,7054,53416,58.85,908.0,JAMMU & KASHMIR,Badgam,119.86406117247239,78.4090909090909,70.25800963992062,98.64061172472387
1,3,10,Leh,15497,93961,171.06,549.0,JAMMU & KASHMIR,Leh,90.5939436455045,51.393663328402205,54.804155643027684,85.96398924354028
1,3,11,Nubra,3606,22433,166.82,134.0,JAMMU & KASHMIR,Leh,21.616113175878194,100.0,100.0,100.0
1,3,12,Khalsi,2806,17093,56.01,305.0,JAMMU & KASHMIR,Leh,50.09819675058026,100.0,100.0,100.0
1,4,13,Kargil,10867,86461,84.16,1027.0,JAMMU & KASHMIR,Kargil,129.1230988593156,81.10361897271602,79.83804177785957,97.45722433460075
