State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,% Urban Population,% Urban Households,% Urban Area
1,1,1,Kupwara,63022,540914,301.94,1791.0,JAMMU & KASHMIR,Kupwara,208.72358746770882,86.02532010633853,88.8800736250833,91.08763330463006,13.974679893661468,11.119926374916696,8.912366695369942
1,1,2,Handwara,39485,269311,291.47,924.0,JAMMU & KASHMIR,Kupwara,135.46848732288055,94.95007630583228,94.9069266810181,97.08374789858304,5.04992369416771,5.093073318981892,2.916252101416955
1,1,3,Karnah,11422,60129,69.89,860.0,JAMMU & KASHMIR,Kupwara,163.42824438403204,74.15889171614363,73.90999824899318,82.93031907282872,25.84110828385637,26.09000175100683,17.06968092717127
1,2,4,Khag,8799,67596,61.12,1106.0,JAMMU & KASHMIR,Badgam,143.96269633507853,100.0,100.0,100.0,0.0,0.0,0.0
1,2,5,Beerwah,20914,163333,134.07,1218.0,JAMMU & KASHMIR,Badgam,155.99313791303052,91.63549313365945,91.61805489146026,94.55508316551055,8.364506866340543,8.381945108539735,5.444916834489446
1,2,6,Khansahib,16432,123312,125.91,979.0,JAMMU & KASHMIR,Badgam,130.50591692478756,97.8671986505774,97.85783836416748,96.584862203161,2.1328013494226026,2.142161635832522,3.415137796839012
1,2,7,Budgam,19774,133855,146.16,916.0,JAMMU & KASHMIR,Badgam,135.29009304871374,82.9673900862874,83.52887630221502,89.92884510125889,17.032609913712598,16.47112369778497,10.071154898741106
1,2,8,Chadoora,30390,212233,194.67,1090.0,JAMMU & KASHMIR,Badgam,156.11034057636002,77.71882789198663,78.65745310957551,88.73478193866544,22.281172108013365,21.342546890424483,11.265218061334567
1,2,9,Charar- E- Shrief,7054,53416,58.85,908.0,JAMMU & KASHMIR,Badgam,119.86406117247239,78.4090909090909,70.25800963992062,98.64061172472387,21.59090909090909,29.74199036007939,1.3593882752761257
1,3,10,Leh,15497,93961,171.06,549.0,JAMMU & KASHMIR,Leh,90.5939436455045,51.393663328402205,54.804155643027684,85.96398924354028,48.60633667159779,45.195844356972316,14.03601075645972
1,3,11,Nubra,3606,22433,166.82,134.0,JAMMU & KASHMIR,Leh,21.616113175878194,100.0,100.0,100.0,0.0,0.0,0.0
1,3,12,Khalsi,2806,17093,56.01,305.0,JAMMU & KASHMIR,Leh,50.09819675058026,100.0,100.0,100.0,0.0,0.0,0.0
1,4,13,Kargil,10867,86461,84.16,1027.0,JAMMU & KASHMIR,Kargil,129.1230988593156,81.10361897271602,79.83804177785957,97.45722433460075,18.89638102728398,20.161958222140424,2.54277566539924
1,4,14,Sanku,5144,40548,60.49,670.0,JAMMU & KASHMIR,Kargil,85.03884939659447,100.0,100.0,100.0,0.0,0.0,0.0
1,4,15,Zanskar,2327,13793,43.11,320.0,JAMMU & KASHMIR,Kargil,53.978195314312224,100.0,100.0,100.0,0.0,0.0,0.0
1,5,16,Haveli,25558,132767,278.42,477.0,JAMMU & KASHMIR,Punch,91.7965663386251,79.7735883163738,80.65967603098834,96.27900294519071,20.226411683626203,19.34032396901166,3.7209970548092803
