mcc,mnc,Operator,Circle
405,1,Jio,Andhra Pradesh and Telangana
404,01,Vodafone Idea,Haryana
404,02,Airtel,Punjab
405,03,Jio,Bihar
404,03,Airtel,Himachal Pradesh
405,04,Jio,Chennai
404,04,Vodafone Idea,Delhi & NCR
405,05,Jio,Delhi & NCR
404,05,Vodafone Idea,Gujarat
405,06,Jio,Gujarat
405,07,Jio,Haryana
404,07,Vodafone Idea,Andhra Pradesh and Telangana
405,08,Jio,Himachal Pradesh
405,09,Jio,Jammu & Kashmir
404,09,Jio,Assam
405,10,Jio,Karnataka
404,10,Airtel,Delhi & NCR
405,11,Jio,Kerala
404,11,Vodafone Idea,Delhi & NCR
405,12,Jio,Kolkata
404,12,Vodafone Idea,Haryana
405,13,Jio,Maharashtra & Goa
404,13,Vodafone Idea,Andhra Pradesh and Telangana
405,14,Jio,Madhya Pradesh
404,14,Vodafone Idea,Punjab
405,15,Jio,Mumbai
404,15,Vodafone Idea,Uttar Pradesh (East)
404,16,Airtel,North East
405,17,Jio,Orissa
404,17,AIRCEL (Not in Use),West Bengal
405,18,Jio,Punjab
404,18,Jio,Himachal Pradesh
405,19,Jio,Rajasthan
404,19,Vodafone Idea,Kerala
405,20,Jio,Tamil Nadu
404,20,Vodafone Idea,Mumbai
405,21,Jio,Uttar Pradesh (East)
404,21,Loop Mobile (Not in Use),Mumbai
405,22,Jio,Uttar Pradesh (West)
404,22,Vodafone Idea,Maharashtra & Goa
405,23,Jio,West Bengal
404,24,Vodafone Idea,Gujarat
405,25,Airtel,Andhra Pradesh and Telangana
404,25,AIRCEL (Not in Use),Bihar
405,26,Airtel,Assam
405,27,Airtel,Bihar/Jharkhand
404,27,Vodafone Idea,Maharashtra & Goa
405,28,Airtel,Chennai
404,28,AIRCEL (Not in Use),Orissa
405,29,Airtel,Delhi
404,29,AIRCEL (Not in Use),Assam
405,30,Airtel,Gujarat
404,30,Vodafone Idea,Kolkata
405,31,Airtel,Haryana
404,31,Airtel,Kolkata
405,32,Airtel,Himachal Pradesh
405,33,Airtel,Jammu & Kashmir
405,34,Airtel,Karnataka
404,34,BSNL,Haryana
405,35,Airtel,Kerala
404,35,AIRCEL (Not in Use),Himachal Pradesh
405,36,Airtel,Kolkata
404,36,Jio,Bihar & Jharkhand
405,37,Airtel,Maharashtra & Goa
404,37,AIRCEL (Not in Use),Jammu & Kashmir
405,38,Airtel,Madhya Pradesh
